ED;ID;Cidade
1;657;Olinda
2;335;São José dos Pinhais
3;896;Caxias do Sul
4;619;Juazeiro do Norte
5;226;Caucaia
6;691;Juiz de Fora
7;653;Valparaíso de Goiás
8;266;Ribeirão Preto
9;546;Carapicuíba
10;494;Mauá
11;838;Parauapebas
12;199;Duque de Caxias
13;762;Petrópolis
14;447;Sobral
15;130;Imperatriz
16;72;Chapecó
17;88;Osasco
18;371;Maringá
19;276;São João de Meriti
20;676;Itajaí
21;106;Santa Rita
22;223;Sobral
23;527;Caruaru
24;529;Piracicaba
25;82;Joinville
26;879;Juazeiro
27;730;Campinas
28;61;Juazeiro
29;739;Piracicaba
30;459;Santarém
31;808;Mogi das Cruzes
32;432;Rio de Janeiro
33;253;Vitória da Conquista
34;395;Cajazeiras
35;660;Timon
36;382;Divinópolis
37;296;Barra do Corda
38;216;Campinas
39;481;Criciúma
40;334;Campinas
41;385;São Gonçalo
42;538;Mogi das Cruzes
43;406;Salvador
44;57;Mogi das Cruzes
45;553;Paulista
46;74;Santarém
47;260;Balsas
48;868;Sete Lagoas
49;171;Ribeirão das Neves
50;779;Guarulhos
51;835;Juiz de Fora
52;688;Anápolis
53;13;Mogi das Cruzes
54;578;Maracanaú
55;161;Carapicuíba
56;437;Santa Maria
57;597;Piracicaba
58;684;Carapicuíba
59;73;Carapicuíba
60;850;São Luís
61;715;Carapicuíba
62;985;Piracicaba
63;995;Blumenau
64;517;Contagem
65;328;Ribeirão Preto
66;519;Bacabal
67;38;Mauá
68;75;Mauá
69;787;Uberlândia
70;34;Osasco
71;500;Contagem
72;53;Uberaba
73;320;Nova Iguaçu
74;275;Chapecó
75;703;Carapicuíba
76;767;Cametá
77;751;Ilhéus
78;210;Diadema
79;815;Bacabal
80;998;Guarulhos
81;424;Barra do Corda
82;248;Vitória da Conquista
83;321;Rio Grande
84;539;Maringá
85;516;Camaragibe
86;961;Uberlândia
87;697;Sete Lagoas
88;166;Osasco
89;566;Mogi das Cruzes
90;413;Anápolis
91;888;Mogi das Cruzes
92;135;Rio de Janeiro
93;304;Parauapebas
94;788;Jundiaí
95;330;Ponta Grossa
96;234;Balsas
97;219;Ribeirão das Neves
98;410;São João de Meriti
99;323;Canoas
100;931;Belford Roxo
101;775;Belo Horizonte
102;629;São José dos Pinhais
103;863;Maringá
104;498;Governador Valadares
105;811;Feira de Santana
106;631;Maranguape
107;273;Mogi das Cruzes
108;96;Belford Roxo
109;720;Campinas
110;935;Guarapuava
111;373;Mauá
112;550;Ananindeua
113;165;Anápolis
114;204;Bacabal
115;431;Ribeirão das Neves
116;113;Betim
117;470;Jundiaí
118;671;Fortaleza
119;39;Osasco
120;718;Barra do Corda
121;522;Curitiba
122;862;Paulista
123;79;Açailândia
124;420;Recife
125;540;Bacabal
126;396;Jundiaí
127;286;Guarapuava
128;920;Feira de Santana
129;973;Paulista
130;131;Cascavel
131;523;Montes Claros
132;52;Ribeirão Preto
133;218;Ponta Grossa
134;594;Sete Lagoas
135;680;Osasco
136;627;Vitória da Conquista
137;893;Ribeirão Preto
138;67;Castanhal
139;963;Mogi das Cruzes
140;943;Campinas
141;105;Niterói
142;584;Canoas
143;890;Osasco
144;658;Bayeux
145;748;Santa Rita
146;746;Campina Grande
147;442;Lauro de Freitas
148;71;Governador Valadares
149;156;Castanhal
150;388;Marabá
151;678;São Gonçalo
152;249;Itabuna
153;723;Nova Iguaçu
154;885;Bragança
155;633;Paranaguá
156;327;Montes Claros
157;557;Diadema
158;947;Porto Alegre
159;380;Ribeirão Preto
160;230;Rio de Janeiro
161;460;Imperatriz
162;872;Campos dos Goytacazes
163;237;Diadema
164;830;Marabá
165;996;Bragança
166;428;Sobral
167;398;Paulista
168;814;Carapicuíba
169;143;Jundiaí
170;593;Vitória da Conquista
171;647;Osasco
172;856;Lauro de Freitas
173;755;Jundiaí
174;625;Diadema
175;183;Vitória da Conquista
176;851;Mogi das Cruzes
177;812;Paço do Lumiar
178;793;Mauá
179;329;Paranaguá
180;967;Camaçari
181;717;Sobral
182;43;São João de Meriti
183;173;Itapipoca
184;366;Governador Valadares
185;456;Goiânia
186;80;Itajaí
187;378;Aparecida de Goiânia
188;934;Codó
189;847;Gravataí
190;820;Ilhéus
191;950;Mogi das Cruzes
192;350;Nova Iguaçu
193;252;Diadema
194;461;Novo Hamburgo
195;724;Londrina
196;383;Belford Roxo
197;777;Feira de Santana
198;294;Lauro de Freitas
199;664;Itabuna
200;167;Aparecida de Goiânia
201;891;Petrópolis
202;355;Itabuna
203;722;Maracanaú
204;63;Campos dos Goytacazes
205;645;Caxias do Sul
206;240;Rio de Janeiro
207;145;Gravataí
208;110;Mauá
209;778;Niterói
210;816;Nova Iguaçu
211;512;Cametá
212;18;Campinas
213;818;Juiz de Fora
214;169;Paulista
215;582;Itabuna
216;505;Londrina
217;318;Itabuna
218;672;Gravataí
219;577;Mogi das Cruzes
220;85;Rio de Janeiro
