ED;ID;Estado
1;657;Pernambuco
2;335;PR
3;896;Rio Grande do Sul
4;619;CE
5;226;Ceará
6;691;Minas Gerais
7;653;GO
8;266;SP
9;546;São Paulo
10;494;SP
11;838;PA
12;199;Rio de Janeiro
13;762;RJ
14;447;Ceará
15;130;Maranhão
16;72;SC
17;88;SP
18;371;PR
19;276;Rio de Janeiro
20;676;SC
21;106;Paraíba
22;223;Ceará
23;527;PE
24;529;SP
25;82;Santa Catarina
26;879;BA
27;730;São Paulo
28;61;Bahia
29;739;São Paulo
30;459;Pará
31;808;São Paulo
32;432;RJ
33;253;BA
34;395;PB
35;660;Maranhão
36;382;MG
37;296;MA
38;216;São Paulo
39;481;SC
40;334;SP
41;385;Rio de Janeiro
42;538;SP
43;406;Bahia
44;57;SP
45;553;PE
46;74;Pará
47;260;Maranhão
48;868;MG
49;171;MG
50;779;SP
51;835;MG
52;688;GO
53;13;SP
54;578;CE
55;161;São Paulo
56;437;Rio Grande do Sul
57;597;SP
58;684;SP
59;73;SP
60;850;Maranhão
61;715;São Paulo
62;985;SP
63;995;Santa Catarina
64;517;MG
65;328;São Paulo
66;519;MA
67;38;SP
68;75;São Paulo
69;787;Minas Gerais
70;34;São Paulo
71;500;Minas Gerais
72;53;MG
73;320;RJ
74;275;Santa Catarina
75;703;SP
76;767;Pará
77;751;Bahia
78;210;São Paulo
79;815;Maranhão
80;998;São Paulo
81;424;MA
82;248;Bahia
83;321;RS
84;539;PR
85;516;PE
86;961;Minas Gerais
87;697;MG
88;166;SP
89;566;SP
90;413;Goiás
91;888;SP
92;135;Rio de Janeiro
93;304;PA
94;788;SP
95;330;Paraná
96;234;MA
97;219;MG
98;410;Rio de Janeiro
99;323;Rio Grande do Sul
100;931;RJ
101;775;MG
102;629;PR
103;863;PR
104;498;MG
105;811;Bahia
106;631;CE
107;273;São Paulo
108;96;RJ
109;720;SP
110;935;PR
111;373;São Paulo
112;550;PA
113;165;GO
114;204;MA
115;431;Minas Gerais
116;113;MG
117;470;SP
118;671;CE
119;39;SP
120;718;Maranhão
121;522;Paraná
122;862;Pernambuco
123;79;MA
124;420;Pernambuco
125;540;MA
126;396;SP
127;286;Paraná
128;920;Bahia
129;973;Pernambuco
130;131;Paraná
131;523;MG
132;52;São Paulo
133;218;Paraná
134;594;Minas Gerais
135;680;SP
136;627;BA
137;893;São Paulo
138;67;Pará
139;963;São Paulo
140;943;SP
141;105;RJ
142;584;RS
143;890;SP
144;658;Paraíba
145;748;PB
146;746;PB
147;442;Bahia
148;71;MG
149;156;PA
150;388;Pará
151;678;RJ
152;249;BA
153;723;RJ
154;885;PA
155;633;Paraná
156;327;MG
157;557;SP
158;947;RS
159;380;São Paulo
160;230;RJ
161;460;Maranhão
162;872;RJ
163;237;São Paulo
164;830;Pará
165;996;PA
166;428;CE
167;398;PE
168;814;São Paulo
169;143;São Paulo
170;593;BA
171;647;SP
172;856;BA
173;755;SP
174;625;SP
175;183;BA
176;851;SP
177;812;Maranhão
178;793;São Paulo
179;329;Paraná
180;967;BA
181;717;Ceará
182;43;RJ
183;173;CE
184;366;Minas Gerais
185;456;GO
186;80;Santa Catarina
187;378;Goiás
188;934;MA
189;847;RS
190;820;Bahia
191;950;São Paulo
192;350;RJ
193;252;SP
194;461;RS
195;724;Paraná
196;383;Rio de Janeiro
197;777;Bahia
198;294;Bahia
199;664;BA
200;167;GO
201;891;Rio de Janeiro
202;355;BA
203;722;Ceará
204;63;Rio de Janeiro
205;645;RS
206;240;RJ
207;145;RS
208;110;São Paulo
209;778;RJ
210;816;Rio de Janeiro
211;512;Pará
212;18;SP
213;818;MG
214;169;Pernambuco
215;582;Bahia
216;505;Paraná
217;318;Bahia
218;672;RS
219;577;SP
220;85;Rio de Janeiro
221;259;São Paulo
222;565;SP
223;921;PE
224;649;São Paulo
225;673;Minas Gerais
226;774;PE
227;555;São Paulo
228;27;Goiás
229;689;Goiás
230;742;SP
231;910;SP
232;238;CE
233;66;SP
234;381;São Paulo
235;97;SC
236;423;CE
237;700;MG
238;443;SP
239;148;RS
240;601;MG
241;852;Minas Gerais
242;221;PE
243;477;São Paulo
244;958;Bahia
245;436;RS
246;209;São Paulo
247;197;MA
248;719;SP
249;357;Santa Catarina
250;771;MG
251;430;Rio Grande do Sul
252;448;Paraná
253;956;Bahia
254;29;SC
255;666;Paraíba
256;351;PE
257;798;GO
258;445;Minas Gerais
259;76;SP
260;819;MG
261;750;BA
262;422;GO
263;769;Bahia
264;832;SC
265;579;MG
266;104;Paraíba
267;911;Ceará
268;638;SP
269;740;Minas Gerais
270;927;CE
271;213;Pernambuco
272;745;BA
273;7;Bahia
274;807;CE
275;646;Bahia
276;139;SP
277;40;BA
278;426;Rio Grande do Sul
279;475;Pernambuco
280;875;Bahia
281;545;Minas Gerais
282;49;Rio de Janeiro
283;292;Rio Grande do Sul
284;37;Minas Gerais
285;407;PE
286;696;SP
287;287;Minas Gerais
288;490;BA
289;926;Ceará
290;621;MA
291;325;PE
292;509;RS
293;636;Minas Gerais
294;857;São Paulo
295;172;Pernambuco
296;84;Paraíba
297;864;Rio de Janeiro
298;983;RJ
299;533;MG
300;44;BA
301;157;RJ
302;375;MG
303;650;SP
304;56;São Paulo
305;279;SP
306;794;SP
307;747;São Paulo
308;758;Santa Catarina
309;712;São Paulo
310;3;Maranhão
311;364;BA
312;331;SP
313;425;Minas Gerais
314;278;Santa Catarina
315;91;BA
316;924;São Paulo
317;370;Minas Gerais
318;656;São Paulo
319;544;Maranhão
320;635;Ceará
321;200;RJ
322;865;Rio de Janeiro
323;608;Santa Catarina
324;595;Bahia
325;994;Paraná
326;391;Bahia
327;854;SP
328;620;SP
329;725;Paraíba
330;493;Pará
331;297;PE
332;799;BA
333;948;MA
334;147;Rio de Janeiro
335;800;São Paulo
336;518;Rio Grande do Sul
337;272;BA
338;384;São Paulo
339;345;SP
340;379;Maranhão
341;610;SP
342;178;Maranhão
343;118;RS
344;206;Maranhão
345;123;Rio Grande do Sul
346;897;SP
347;785;Santa Catarina
348;403;Minas Gerais
349;770;São Paulo
350;941;Ceará
351;212;GO
352;175;CE
353;930;Maranhão
354;126;Bahia
355;117;BA
356;392;Bahia
357;760;CE
358;446;Minas Gerais
359;681;SP
360;245;São Paulo
361;108;Paraná
362;946;SP
363;525;São Paulo
364;412;Minas Gerais
365;634;GO
