ED;ID;Salario
1;657;R$9,181
2;335;R$8,431
3;896;R$7,759
4;619;R$5,609
5;226;R$6,778
6;691;R$8,668
7;653;R$6,168
8;266;R$9,339
9;546;R$6,933
10;494;R$9,203
11;838;R$9,870
12;199;R$7,382
13;762;R$6,217
14;447;R$9,338
15;130;R$8,752
16;72;R$6,534
17;88;R$8,698
18;371;R$9,673
19;276;R$6,322
20;676;R$8,868
21;106;R$7,966
22;223;R$7,044
23;527;R$7,043
24;529;R$6,733
25;82;R$9,406
26;879;R$8,657
27;730;R$7,005
28;61;R$8,158
29;739;R$5,450
30;459;R$7,286
31;808;R$7,690
32;432;R$8,291
33;253;R$6,542
34;395;R$7,759
35;660;R$5,100
36;382;R$9,997
37;296;R$6,271
38;216;R$7,497
39;481;R$6,893
40;334;R$8,984
41;385;R$8,884
42;538;R$6,099
43;406;R$7,739
44;57;R$8,545
45;553;R$9,428
46;74;R$8,941
47;260;R$8,441
48;868;R$7,409
49;171;R$5,385
50;779;R$7,073
51;835;R$9,290
52;688;R$9,329
53;13;R$7,736
54;578;R$5,996
55;161;R$6,760
56;437;R$5,980
57;597;R$8,274
58;684;R$7,391
59;73;R$8,523
60;850;R$9,077
61;715;R$5,908
62;985;R$7,759
63;995;R$8,682
64;517;R$7,435
65;328;R$5,438
66;519;R$8,521
67;38;R$5,292
68;75;R$5,973
69;787;R$8,744
70;34;R$9,219
71;500;R$9,604
72;53;R$6,871
73;320;R$8,657
74;275;R$9,092
75;703;R$5,359
76;767;R$6,921
77;751;R$6,496
78;210;R$8,769
79;815;R$7,097
80;998;R$6,502
81;424;R$6,983
82;248;R$7,650
83;321;R$9,555
84;539;R$7,307
85;516;R$5,301
86;961;R$9,433
87;697;R$6,685
88;166;R$6,279
89;566;R$7,857
90;413;R$7,636
91;888;R$7,025
92;135;R$8,326
93;304;R$5,038
94;788;R$8,209
95;330;R$8,037
96;234;R$9,762
97;219;R$9,199
98;410;R$5,113
99;323;R$9,787
100;931;R$5,800
101;775;R$6,505
102;629;R$6,361
103;863;R$6,956
104;498;R$7,332
105;811;R$7,696
106;631;R$9,681
107;273;R$9,111
108;96;R$5,707
109;720;R$8,497
110;935;R$5,407
111;373;R$9,203
112;550;R$7,702
113;165;R$5,666
114;204;R$7,532
115;431;R$7,142
116;113;R$7,127
117;470;R$8,393
118;671;R$9,575
119;39;R$8,967
120;718;R$8,951
121;522;R$8,636
122;862;R$5,274
123;79;R$9,418
124;420;R$6,894
125;540;R$6,328
126;396;R$7,634
127;286;R$5,473
128;920;R$6,436
129;973;R$8,875
130;131;R$8,714
131;523;R$8,737
132;52;R$9,460
133;218;R$8,922
134;594;R$7,799
135;680;R$6,445
136;627;R$5,677
137;893;R$5,894
138;67;R$7,400
139;963;R$8,671
140;943;R$8,540
141;105;R$5,515
142;584;R$7,904
143;890;R$7,718
144;658;R$6,236
145;748;R$8,136
146;746;R$8,179
147;442;R$5,767
148;71;R$9,821
149;156;R$5,213
150;388;R$9,305
151;678;R$6,951
152;249;R$7,584
153;723;R$9,548
154;885;R$6,499
155;633;R$5,837
156;327;R$6,930
157;557;R$5,930
158;947;R$6,040
159;380;R$6,662
160;230;R$8,402
161;460;R$9,755
162;872;R$5,214
163;237;R$5,158
164;830;R$9,442
165;996;R$7,446
166;428;R$5,971
167;398;R$8,832
168;814;R$8,823
169;143;R$9,264
170;593;R$7,493
171;647;R$8,069
172;856;R$9,038
173;755;R$7,187
174;625;R$5,524
175;183;R$9,807
176;851;R$7,360
177;812;R$6,060
178;793;R$5,851
179;329;R$7,763
180;967;R$8,369
181;717;R$9,567
182;43;R$5,909
183;173;R$8,985
184;366;R$5,697
185;456;R$5,809
186;80;R$8,780
187;378;R$5,883
188;934;R$8,841
189;847;R$7,809
190;820;R$5,611
191;950;R$7,872
192;350;R$6,910
193;252;R$6,385
194;461;R$9,024
195;724;R$5,482
196;383;R$9,199
197;777;R$6,588
198;294;R$7,461
199;664;R$7,719
200;167;R$7,519
201;891;R$6,348
202;355;R$7,030
203;722;R$9,040
204;63;R$8,206
205;645;R$6,881
206;240;R$5,766
207;145;R$8,285
208;110;R$5,575
209;778;R$9,487
210;816;R$8,983
211;512;R$6,192
212;18;R$5,885
213;818;R$6,965
214;169;R$8,034
215;582;R$6,561
216;505;R$8,454
217;318;R$9,994
218;672;R$8,700
219;577;R$7,045
220;85;R$7,208
221;259;R$8,837
222;565;R$7,534
223;921;R$5,347
224;649;R$8,407
225;673;R$6,740
226;774;R$8,340
227;555;R$8,177
228;27;R$6,155
229;689;R$6,433
230;742;R$5,835
231;910;R$8,176
232;238;R$6,297
233;66;R$7,602
234;381;R$7,875
235;97;R$9,832
236;423;R$8,599
237;700;R$6,407
238;443;R$9,443
239;148;R$5,172
240;601;R$9,569
241;852;R$7,230
242;221;R$6,977
243;477;R$9,584
244;958;R$9,660
245;436;R$5,400
246;209;R$7,790
247;197;R$9,024
248;719;R$5,824
249;357;R$7,476
250;771;R$9,498
251;430;R$6,512
252;448;R$8,339
253;956;R$7,568
254;29;R$9,089
255;666;R$9,713
256;351;R$9,127
257;798;R$5,026
258;445;R$8,233
