ED;ID;Setor
1;657;Financeiro
2;335;Serviço ao Cliente
3;896;Vendas
4;619;Marketing
5;226;Suporte Técnico
6;691;Jurídico
7;653;Vendas
8;266;Financeiro
9;546;Gerenciamento
10;494;Vendas
11;838;Vendas
12;199;Jurídico
13;762;Gerenciamento
14;447;Serviço ao Cliente
15;130;Financeiro
16;72;Serviço ao Cliente
17;88;Financeiro
18;371;Pesquisa e Desenvolvimento
19;276;Marketing
20;676;Pesquisa e Desenvolvimento
21;106;Relações Públicas
22;223;Suporte Técnico
23;527;Suporte Técnico
24;529;Marketing
25;82;Gerenciamento
26;879;Marketing
27;730;Pesquisa e Desenvolvimento
28;61;Financeiro
29;739;Serviço ao Cliente
30;459;Jurídico
31;808;Recursos Humanos
32;432;Vendas
33;253;Relações Públicas
34;395;Gerenciamento
35;660;Serviço ao Cliente
36;382;Serviço ao Cliente
37;296;Relações Públicas
38;216;Pesquisa e Desenvolvimento
39;481;Gerenciamento
40;334;Financeiro
41;385;Vendas
42;538;Relações Públicas
43;406;Serviço ao Cliente
44;57;Pesquisa e Desenvolvimento
45;553;Recursos Humanos
46;74;Relações Públicas
47;260;Financeiro
48;868;Recursos Humanos
49;171;Pesquisa e Desenvolvimento
50;779;Recursos Humanos
51;835;Marketing
52;688;Gerenciamento
53;13;Gerenciamento
54;578;Serviço ao Cliente
55;161;Vendas
56;437;Marketing
57;597;Recursos Humanos
58;684;Gerenciamento
59;73;Recursos Humanos
60;850;Gerenciamento
61;715;Pesquisa e Desenvolvimento
62;985;Gerenciamento
63;995;Marketing
64;517;Relações Públicas
65;328;Jurídico
66;519;Jurídico
67;38;Pesquisa e Desenvolvimento
68;75;Gerenciamento
69;787;Financeiro
70;34;Vendas
71;500;Marketing
72;53;Jurídico
73;320;Recursos Humanos
74;275;Suporte Técnico
75;703;Financeiro
76;767;Vendas
77;751;Serviço ao Cliente
78;210;Pesquisa e Desenvolvimento
79;815;Pesquisa e Desenvolvimento
80;998;Suporte Técnico
81;424;Vendas
82;248;Serviço ao Cliente
83;321;Vendas
