ED;ID;Estado_Civil
2;335;Casado
6;691;Casado
10;494;Casado
11;838;Casado
17;88;Casado
26;879;Casado
29;739;Casado
31;808;Casado
34;395;Casado
41;385;Casado
43;406;Casado
49;171;Casado
60;850;Casado
64;517;Casado
71;500;Casado
72;53;Casado
74;275;Casado
77;751;Casado
78;210;Casado
79;815;Casado
82;248;Casado
83;321;Casado
86;961;Casado
91;888;Casado
93;304;Casado
97;219;Casado
99;323;Casado
106;631;Casado
117;470;Casado
123;79;Casado
125;540;Casado
128;920;Casado
137;893;Casado
146;746;Casado
154;885;Casado
156;327;Casado
158;947;Casado
163;237;Casado
166;428;Casado
176;851;Casado
181;717;Casado
182;43;Casado
184;366;Casado
185;456;Casado
195;724;Casado
197;777;Casado
199;664;Casado
205;645;Casado
210;816;Casado
211;512;Casado
213;818;Casado
215;582;Casado
218;672;Casado
225;673;Casado
231;910;Casado
240;601;Casado
243;477;Casado
245;436;Casado
252;448;Casado
256;351;Casado
259;76;Casado
270;927;Casado
273;7;Casado
281;545;Casado
283;292;Casado
286;696;Casado
290;621;Casado
294;857;Casado
298;983;Casado
306;794;Casado
311;364;Casado
315;91;Casado
316;924;Casado
317;370;Casado
321;200;Casado
322;865;Casado
326;391;Casado
338;384;Casado
342;178;Casado
347;785;Casado
350;941;Casado
352;175;Casado
353;930;Casado
357;760;Casado
359;681;Casado
361;108;Casado
366;690;Casado
368;152;Casado
369;829;Casado
370;574;Casado
375;913;Casado
379;502;Casado
382;987;Casado
383;919;Casado
388;506;Casado
395;616;Casado
396;904;Casado
397;605;Casado
398;62;Casado
399;734;Casado
402;654;Casado
406;908;Casado
410;841;Casado
413;233;Casado
418;255;Casado
421;24;Casado
422;363;Casado
423;487;Casado
430;324;Casado
431;874;Casado
433;915;Casado
439;907;Casado
442;912;Casado
445;277;Casado
450;622;Casado
451;932;Casado
453;168;Casado
455;361;Casado
458;964;Casado
459;12;Casado
465;232;Casado
466;898;Casado
467;706;Casado
472;917;Casado
475;887;Casado
478;151;Casado
484;655;Casado
492;336;Casado
494;873;Casado
502;612;Casado
506;250;Casado
510;417;Casado
513;358;Casado
518;435;Casado
521;630;Casado
522;733;Casado
523;532;Casado
530;155;Casado
531;92;Casado
533;312;Casado
539;708;Casado
542;661;Casado
545;47;Casado
550;883;Casado
551;21;Casado
553;615;Casado
555;480;Casado
558;754;Casado
559;15;Casado
565;591;Casado
566;177;Casado
567;944;Casado
572;314;Casado
575;478;Casado
578;543;Casado
584;849;Casado
592;217;Casado
594;536;Casado
607;513;Casado
622;805;Casado
623;507;Casado
634;949;Casado
641;667;Casado
646;976;Casado
650;289;Casado
651;301;Casado
652;683;Casado
655;744;Casado
656;208;Casado
683;573;Casado
691;894;Casado
696;839;Casado
700;727;Casado
707;759;Casado
717;377;Casado
718;503;Casado
719;674;Casado
723;31;Casado
725;36;Casado
734;229;Casado
743;107;Casado
744;70;Casado
750;576;Casado
755;561;Casado
761;462;Casado
763;317;Casado
764;138;Casado
767;552;Casado
771;360;Casado
779;756;Casado
780;195;Casado
781;923;Casado
784;347;Casado
785;828;Casado
786;780;Casado
788;394;Casado
801;464;Casado
805;728;Casado
813;133;Casado
814;111;Casado
815;182;Casado
824;617;Casado
829;214;Casado
835;704;Casado
839;916;Casado
853;679;Casado
858;449;Casado
859;142;Casado
860;316;Casado
865;997;Casado
873;665;Casado
878;339;Casado
883;359;Casado
884;786;Casado
885;840;Casado
887;65;Casado
889;955;Casado
891;293;Casado
892;185;Casado
898;801;Casado
900;418;Casado
902;100;Casado
905;575;Casado
907;465;Casado
912;880;Casado
913;224;Casado
914;6;Casado
915;441;Casado
917;965;Casado
918;32;Casado
920;968;Casado
928;530;Casado
929;782;Casado
936;901;Casado
942;644;Casado
947;476;Casado
948;945;Casado
951;467;Casado
953;463;Casado
957;721;Casado
958;101;Casado
959;826;Casado
968;137;Casado
969;376;Casado
970;859;Casado
972;589;Casado
981;729;Casado
987;489;Casado
988;567;Casado
990;4;Casado
994;990;Casado
998;882;Casado
5;226;Divorciado
8;266;Divorciado
14;447;Divorciado
15;130;Divorciado
16;72;Divorciado
18;371;Divorciado
23;527;Divorciado
24;529;Divorciado
30;459;Divorciado
33;253;Divorciado
47;260;Divorciado
48;868;Divorciado
51;835;Divorciado
56;437;Divorciado
57;597;Divorciado
59;73;Divorciado
65;328;Divorciado
66;519;Divorciado
73;320;Divorciado
81;424;Divorciado
85;516;Divorciado
89;566;Divorciado
92;135;Divorciado
94;788;Divorciado
