ED;ID;Nome
67;38;Abbot
374;669;Abbot
426;705;Abbot
526;295;Abbot
448;842;Abdul
548;825;Abdul
990;4;Abdul
55;161;Abigail
746;562;Abra
205;645;Abraham
211;512;Abraham
799;227;Acton
154;885;Adam
994;990;Adam
269;740;Adara
202;355;Addison
617;127;Adele
111;373;Adena
157;557;Adrian
673;153;Aidan
282;49;Aimee
475;887;Akeem
575;478;Akeem
722;308;Alana
639;112;Alden
866;458;Alea
360;245;Alec
422;363;Alec
522;733;Alec
409;878;Alexander
509;843;Alexander
813;133;Alexis
841;971;Alice
908;414;Alika
650;289;Aline
690;790;Aline
714;772;Allegra
862;806;Althea
910;103;Alvin
105;811;Alyssa
20;676;Amber
843;93;Amela
158;947;Amena
795;979;Amethyst
318;656;Amity
608;986;Amity
887;65;Amy
337;272;Anastasia
311;364;Angelica
706;469;Angelica
619;999;Anika
698;22;Anika
159;380;Anjolie
88;166;Anthony
109;720;Aphrodite
735;831;Aphrodite
992;628;Aquila
217;318;Arsenio
850;299;Ashely
812;939;Ashton
815;182;August
898;801;August
399;734;Aurelia
336;518;Austin
45;553;Ava
278;426;Ava
281;545;Ava
79;815;Avye
299;533;Avye
23;527;Axel
315;91;Axel
946;966;Ayanna
763;317;Barbara
66;519;Barclay
247;197;Barclay
113;165;Barry
197;777;Barry
443;313;Beatrice
543;58;Beatrice
606;726;Beck
429;421;Benedict
529;572;Benedict
296;84;Benjamin
996;954;Benjamin
676;580;Berk
38;216;Bernard
999;220;Bernard
333;948;Bethany
26;879;Bevis
624;520;Bianca
636;659;Blaze
635;136;Blythe
709;225;Boris
776;288;Boris
473;541;Brady
573;858;Brady
382;987;Brandon
258;445;Breanna
91;888;Brendan
262;422;Brendan
957;721;Brendan
991;409;Brendan
893;569;Brenden
687;623;Brennan
156;327;Brett
997;853;Brian
170;593;Britanney
142;584;Brooke
129;973;Bruce
2;335;Bryar
816;397;Brynn
674;488;Brynne
844;179;Buffy
726;393;Byron
319;544;Cadman
741;191;Caesar
49;171;Caleb
127;286;Caleb
323;608;Callie
806;821;Callie
897;291;Callie
99;323;Camden
371;389;Camden
649;120;Camden
851;804;Camille
744;70;Candace
979;860;Cara
196;383;Carissa
