ED;ID;Sobrenome
397;605;Acevedo
5;226;Albert
151;678;Alexander
968;137;Alexander
906;687;Allen
86;961;Alston
301;157;Alston
71;500;Alvarado
672;28;Alvarado
433;915;Alvarez
533;312;Alvarez
135;680;Anderson
413;233;Andrews
513;358;Andrews
646;976;Andrews
665;471;Andrews
347;785;Atkins
848;337;Atkins
447;132;Atkinson
547;495;Atkinson
54;578;Austin
403;707;Avila
503;455;Avila
621;254;Ayala
897;291;Ayala
484;655;Ayers
584;849;Ayers
369;829;Baird
270;927;Baldwin
472;917;Baldwin
572;314;Baldwin
980;215;Barber
249;357;Barnes
604;419;Barnes
354;126;Barnett
649;120;Barnett
745;861;Barnett
671;663;Barr
122;862;Barrera
408;243;Barron
508;668;Barron
977;810;Bartlett
241;852;Barton
879;150;Bates
12;199;Baxter
11;838;Beach
680;991;Bean
893;569;Beard
127;286;Bell
274;807;Bell
695;390;Bell
165;996;Bennett
404;974;Bennett
504;618;Bennett
358;446;Benson
396;904;Benson
896;922;Benson
628;46;Bernard
281;545;Berry
117;470;Bird
145;748;Bird
940;50;Bird
65;328;Black
355;117;Blackwell
922;817;Blackwell
368;152;Blake
147;442;Blanchard
759;937;Blankenship
415;427;Blevins
515;588;Blevins
288;490;Bonner
978;86;Bonner
158;947;Booker
629;698;Boone
264;832;Booth
756;192;Bowen
450;622;Bowers
550;883;Bowers
615;735;Bowman
159;380;Boyd
631;16;Boyd
779;756;Boyd
407;247;Boyer
507;551;Boyer
809;479;Boyer
959;826;Boyle
474;236;Bradford
574;468;Bradford
987;489;Bradley
742;928;Brady
166;428;Branch
973;341;Branch
460;695;Brennan
560;889;Brennan
276;139;Bridges
661;98;Bridges
801;464;Briggs
869;121;Briggs
411;881;Bright
511;701;Bright
654;55;Brock
25;82;Brown
198;294;Brown
903;694;Browning
239;148;Buchanan
697;429;Buckley
696;839;Bullock
161;460;Burch
4;619;Burke
948;945;Burke
469;738;Burks
569;611;Burks
958;101;Burns
866;458;Burton
319;544;Bush
991;409;Byers
14;447;Cabrera
378;662;Cabrera
272;745;Cain
449;749;Cain
549;869;Cain
892;185;Cain
820;326;Calderon
206;240;Calhoun
988;567;Camacho
881;64;Cameron
455;361;Cannon
555;480;Cannon
642;140;Carlson
950;599;Carpenter
781;923;Carroll
40;334;Carson
257;798;Carter
286;696;Carter
375;913;Carver
862;806;Carver
954;332;Carver
426;705;Case
526;295;Case
806;821;Case
451;932;Casey
551;21;Casey
765;222;Casey
120;718;Castaneda
402;654;Castillo
502;612;Castillo
334;147;Castro
237;700;Chan
880;938;Chan
50;779;Chandler
69;787;Chaney
113;165;Charles
814;111;Chase
997;853;Chase
817;637;Chavez
963;372;Chavez
818;731;Chen
812;939;Cherry
393;353;Christensen
32;432;Christian
152;249;Christian
437;263;Church
537;149;Church
1;657;Clark
168;814;Clarke
475;887;Clay
575;478;Clay
790;773;Clay
78;210;Clayton
372;969;Clayton
394;189;Clayton
101;775;Clements
637;115;Clements
721;504;Cleveland
762;404;Cline
21;106;Cobb
496;699;Cobb
596;824;Cobb
716;526;Cobb
46;74;Coffey
736;989;Coffey
934;87;Cole
291;325;Combs
424;81;Conley
524;600;Conley
768;244;Conner
914;6;Conrad
755;561;Contreras
49;171;Conway
80;998;Conway
125;540;Conway
41;385;Cook
36;382;Cooley
702;11;Cooley
943;450;Copeland
266;104;Cox
638;765;Craft
490;231;Craig
590;586;Craig
912;880;Craig
376;609;Crane
439;907;Crane
539;708;Crane
190;820;Crawford
835;704;Crosby
904;69;Crosby
815;182;Cruz
261;750;Curry
791;590;Daniel
