Data_Nascimento;Qtd;Prim
01/01/04;1;122
01/01/12;1;366
01/01/42;1;221
01/01/70;1;5
01/01/72;1;681
01/01/84;1;201
01/02/09;1;896
01/02/34;1;105
01/02/55;1;950
01/02/71;1;692
01/02/76;1;133
01/02/90;1;235
01/03/94;1;986
01/04/37;1;189
01/04/88;1;647
01/05/53;1;843
01/05/62;2;481
01/06/10;1;929
01/06/31;1;703
01/06/55;1;749
01/07/40;1;772
01/07/75;2;24
01/08/46;1;751
01/08/67;1;992
01/09/02;1;146
01/09/12;1;823
01/09/14;1;877
01/09/30;1;98
01/09/47;1;330
01/09/73;1;112
01/09/80;1;908
01/09/94;1;921
01/11/78;1;279
01/11/81;3;236
01/11/87;1;182
01/11/88;1;914
01/12/53;1;262
01/12/75;1;762
02/01/03;1;696
02/01/87;1;994
02/02/54;1;165
02/02/62;1;294
02/02/65;1;699
02/02/97;1;985
02/03/97;1;755
02/04/36;1;287
02/04/41;1;176
02/04/93;1;78
02/04/94;1;305
02/05/19;1;389
02/05/45;2;480
02/06/62;2;448
02/06/67;1;990
02/07/34;1;951
02/07/97;1;359
02/08/18;1;26
02/08/41;1;230
02/08/69;1;174
02/08/79;1;149
02/10/37;1;771
02/10/47;1;126
02/11/03;1;899
02/11/13;2;497
02/11/80;1;949
02/12/46;2;498
02/12/80;1;116
02/12/85;2;464
03/01/31;1;219
03/01/83;1;238
03/01/90;1;689
03/01/94;2;460
03/01/96;1;765
03/02/86;1;707
03/03/04;1;744
03/03/73;1;964
03/03/80;2;443
03/04/47;1;758
03/05/31;1;989
03/05/50;1;624
03/05/91;1;972
03/06/48;1;746
03/06/58;1;144
03/07/51;1;954
03/07/63;1;976
03/07/75;1;18
03/08/61;1;721
03/09/33;2;495
03/10/49;1;25
03/10/73;1;242
03/10/92;1;867
03/12/17;1;148
03/12/98;1;694
04/01/04;1;679
04/01/08;1;960
04/01/12;1;684
04/01/47;1;675
04/01/81;1;719
04/02/33;1;92
04/02/47;1;398
04/02/78;1;374
04/03/35;1;753
04/03/58;1;625
04/05/13;1;351
04/05/37;1;391
04/05/49;1;974
04/06/47;1;780
04/06/59;2;490
04/06/96;1;17
04/07/87;2;424
04/08/35;2;412
04/09/99;2;442
04/10/06;1;648
04/10/35;1;968
04/10/60;1;819
04/10/87;1;803
04/10/92;2;459
04/11/01;1;645
04/11/08;1;111
04/11/30;1;649
04/11/34;1;80
04/11/72;1;214
04/11/92;2;422
04/12/08;1;243
04/12/10;1;378
04/12/48;1;296
05/02/08;1;891
05/02/49;1;394
05/03/41;1;777
05/03/44;3;84
05/04/18;1;34
05/04/59;1;635
05/04/65;1;8
05/05/37;1;739
05/05/38;1;643
05/06/03;1;870
05/06/04;1;22
05/06/77;1;688
05/06/92;1;103
05/07/15;1;206
05/07/36;1;903
05/08/05;1;199
05/08/17;1;616
05/08/51;1;399
05/08/53;1;898
05/08/57;1;200
05/09/50;1;667
05/09/62;2;402
05/09/67;1;846
05/09/82;1;73
05/10/18;1;342
05/10/46;1;737
05/10/71;1;639
05/10/99;1;321
05/11/05;1;231
05/11/10;1;854
05/11/14;1;821
05/11/31;1;722
05/11/35;1;100
05/11/42;1;131
05/12/37;1;77
05/12/38;1;240
06/01/08;2;483
06/01/45;1;971
06/01/80;1;627
06/01/85;1;970
06/02/40;2;465
06/03/49;1;840
06/03/58;2;423
06/03/84;1;46
06/03/89;1;831
06/04/34;1;810
06/04/44;1;901
06/04/49;1;797
06/04/88;1;856
06/04/96;1;727
06/05/03;1;234
06/05/35;1;160
06/05/50;1;327
06/05/59;1;45
06/05/61;1;725
06/05/70;1;887
06/06/01;1;955
06/06/52;1;54
06/06/63;1;748
06/07/00;1;909
06/07/85;1;6
06/08/02;1;396
06/08/35;1;935
06/08/88;1;835
06/09/17;1;161
06/09/48;1;924
06/09/60;1;651
06/09/63;1;63
06/09/76;1;1000
06/10/70;1;759
06/11/32;1;49
06/11/41;1;731
06/12/42;1;932
06/12/78;1;674
07/01/58;1;218
07/02/34;1;246
07/02/96;1;982
07/04/69;1;883
07/05/11;1;957
07/05/37;1;170
07/05/50;1;776
07/05/93;1;666
07/06/01;1;274
07/06/05;1;159
07/06/46;1;606
07/06/48;1;871
07/06/58;1;117
07/06/59;1;920
07/07/72;1;371
07/08/04;2;468
07/08/18;1;137
07/08/45;1;16
07/08/58;1;308
07/08/66;1;244
07/08/75;1;229
07/08/76;1;973
07/08/91;1;90
07/09/05;1;897
07/09/30;1;323
07/09/64;1;828
07/09/70;1;629
07/09/78;1;101
07/09/97;1;838
07/10/66;1;660
07/10/91;2;461
07/11/45;1;400
07/11/64;1;254
07/11/88;1;140
07/12/32;1;353
08/01/30;1;326
08/02/88;1;325
08/02/93;1;915
08/03/43;2;437
08/03/59;1;370
08/03/72;1;269
08/03/76;1;58
08/03/79;1;14
08/04/87;1;818
08/05/06;1;888
08/05/59;1;143
08/05/79;1;334
08/05/95;2;416
08/06/35;1;638
08/06/77;1;738
08/07/17;1;764
08/07/61;1;183
08/07/76;1;708
08/07/98;1;367
08/08/00;2;426
08/08/36;2;405
08/08/47;2;449
08/08/92;1;273
08/09/87;1;816
08/11/01;2;469
08/11/06;1;59
08/11/41;1;360
08/11/44;1;332
08/12/11;1;237
08/12/77;1;145
09/01/30;2;421
09/01/74;1;382
09/02/35;1;125
09/02/56;1;736
09/02/73;2;491
09/02/82;1;813
09/03/68;1;13
09/04/39;2;487
09/04/94;1;20
09/06/63;1;223
09/06/71;1;162
09/06/94;1;926
09/07/12;1;997
09/07/46;1;943
09/07/49;1;963
09/07/61;1;930
09/08/49;1;249
09/08/57;2;492
09/08/69;1;740
09/08/82;1;114
09/08/87;2;188
09/09/74;1;87
09/10/44;1;774
09/10/63;1;226
09/10/81;1;634
09/11/76;1;158
09/12/68;1;938
10/01/60;1;890
10/01/79;1;605
10/01/93;2;482
10/02/03;1;849
10/02/30;1;225
10/03/41;1;991
10/03/66;1;847
10/04/07;1;290
10/04/19;1;10
10/05/31;1;217
10/05/59;1;361
10/05/78;1;683
10/05/96;1;239
10/06/82;1;839
10/07/05;1;388
10/07/34;1;962
10/07/88;1;4
10/08/05;1;197
10/08/06;1;610
10/08/47;1;885
10/09/07;1;82
10/09/52;1;268
10/09/67;1;608
10/09/69;1;983
10/09/99;1;222
10/10/66;1;289
10/10/91;1;614
10/10/97;1;270
10/11/44;1;204
10/12/47;1;702
11/01/31;1;602
11/01/44;1;38
11/01/57;1;650
11/01/61;1;612
11/01/66;1;153
11/02/05;1;956
11/03/36;1;640
11/03/65;1;202
11/04/04;1;209
11/04/82;1;988
11/05/75;1;203
11/05/91;1;798
11/06/17;1;882
11/06/54;1;657
11/06/82;1;690
11/07/04;1;622
11/07/60;1;778
11/07/93;1;338
11/08/37;1;763
11/08/61;1;155
12/01/51;1;832
12/01/52;1;310
12/01/96;2;451
12/02/04;1;939
12/02/18;1;208
12/02/56;1;276
12/02/70;1;900
12/03/34;1;115
12/04/05;1;865
12/04/06;1;801
12/04/16;1;282
12/05/42;1;889
12/05/58;1;147
12/05/78;1;70
12/05/99;1;742
12/06/07;1;271
12/06/12;2;427
12/06/72;1;184
12/06/94;1;795
12/07/62;1;66
12/07/84;3;453
12/08/09;1;941
12/09/74;1;620
12/10/54;1;68
12/10/62;2;433
12/11/81;1;150
12/12/07;1;33
12/12/37;1;953
12/12/53;2;499
12/12/86;1;752
12/12/89;2;435
13/01/03;1;11
13/01/67;1;358
13/01/80;1;756
13/02/04;2;493
13/02/79;1;922
13/03/10;1;232
13/04/16;1;373
13/05/35;1;109
13/05/47;1;113
13/06/07;2;404
13/06/46;2;418
13/06/65;1;952
13/07/05;1;210
13/08/36;1;331
13/08/62;1;212
13/08/80;1;743
13/08/86;1;213
13/09/10;1;385
13/09/52;1;261
13/09/84;1;712
13/09/87;1;822
13/11/44;1;129
13/11/72;2;470
13/11/83;1;220
13/12/54;1;632
14/02/49;1;917
14/02/82;1;185
14/02/88;1;23
14/05/53;1;959
14/06/51;1;198
14/06/57;1;355
14/06/77;2;475
14/06/87;1;227
14/08/12;2;462
14/08/71;1;195
14/09/11;1;336
14/10/67;2;477
14/10/88;1;171
14/11/83;1;717
14/11/84;1;299
14/11/93;1;257
14/12/72;1;250
14/12/91;1;984
15/01/10;1;2
15/01/58;1;916
15/02/44;2;440
15/02/47;1;652
15/03/47;1;661
15/03/84;1;619
15/04/30;1;169
15/04/35;1;783
15/05/38;1;685
15/05/69;1;280
15/06/31;1;255
15/06/36;1;179
15/06/55;1;28
15/06/85;1;664
15/06/89;1;228
15/07/07;1;607
15/07/45;2;833
15/07/85;1;623
15/07/92;1;311
15/08/01;1;251
15/08/82;1;944
15/09/67;1;601
15/10/38;1;315
15/11/49;1;779
15/11/50;1;52
15/11/95;1;132
15/11/98;1;750
15/12/67;1;676
16/01/14;1;611
16/01/30;1;348
16/02/00;1;842
16/02/13;3;419
16/02/16;1;637
16/02/36;1;775
16/02/63;1;886
16/03/31;2;500
16/03/53;1;609
16/04/37;1;387
16/04/80;1;655
16/04/82;1;760
16/06/02;2;455
16/06/10;1;729
16/06/48;1;193
16/06/74;2;486
16/06/77;1;344
16/07/12;1;845
16/07/35;1;745
16/07/81;1;372
16/07/87;1;265
16/07/91;3;241
16/08/45;1;695
16/08/78;1;215
16/08/88;1;186
16/08/91;1;677
16/09/94;1;76
16/10/83;1;95
16/10/91;1;720
16/11/01;1;789
16/12/31;1;999
16/12/42;1;827
