Nome;Qtd;Prim
Abbot;4;67
Abdul;3;448
Abigail;1;55
Abra;1;746
Abraham;2;205
Acton;1;799
Adam;2;154
Adara;1;269
Addison;1;202
Adele;1;617
Adena;1;111
Adrian;1;157
Aidan;1;673
Aimee;1;282
Akeem;2;475
Alana;1;722
Alden;1;639
Alea;1;866
Alec;3;360
Alexander;2;409
Alexis;1;813
Alice;1;841
Alika;1;908
Aline;2;650
Allegra;1;714
Althea;1;862
Alvin;1;910
Alyssa;1;105
Amber;1;20
Amela;1;843
Amena;1;158
Amethyst;1;795
Amity;2;318
Amy;1;887
Anastasia;1;337
Angelica;2;311
Anika;2;619
Anjolie;1;159
Anthony;1;88
Aphrodite;2;109
Aquila;1;992
Arsenio;1;217
Ashely;1;850
Ashton;1;812
August;2;815
Aurelia;1;399
Austin;1;336
Ava;3;45
Avye;2;79
Axel;2;23
Ayanna;1;946
Barbara;1;763
Barclay;2;66
Barry;2;113
Beatrice;2;443
Beck;1;606
Benedict;2;429
Benjamin;2;296
Berk;1;676
Bernard;2;38
Bethany;1;333
Bevis;1;26
Bianca;1;624
Blaze;1;636
Blythe;1;635
Boris;2;709
Brady;2;473
Brandon;1;382
Breanna;1;258
Brendan;4;91
Brenden;1;893
Brennan;1;687
Brett;1;156
Brian;1;997
Britanney;1;170
Brooke;1;142
Bruce;1;129
Bryar;1;2
Brynn;1;816
Brynne;1;674
Buffy;1;844
Byron;1;726
Cadman;1;319
Caesar;1;741
Caleb;2;49
Callie;3;323
Camden;3;99
Camille;1;851
Candace;1;744
Cara;1;979
Carissa;1;196
Carl;2;73
Carlos;1;902
Carson;1;983
Carter;1;122
Caryn;1;147
Casey;2;412
Cassandra;4;468
Castor;3;62
Catherine;2;766
Cedric;2;155
Celeste;1;117
Chadwick;2;148
Chaim;1;819
Chaney;3;21
Channing;2;275
Charity;2;401
Charlotte;2;14
Chava;1;713
Chelsea;1;778
Cherokee;1;292
Chloe;1;654
Christen;1;911
Christian;1;227
Christopher;1;17
Ciara;1;680
Ciaran;3;437
Claire;1;233
Clark;1;31
Clayton;3;134
Clementine;1;383
Clinton;5;351
Coby;2;376
Cody;1;605
Colby;1;179
Colorado;4;464
Colt;1;385
Connor;1;256
Cooper;1;270
Cora;2;75
Craig;1;761
Cruz;2;499
Cullen;3;370
Curran;1;840
Cynthia;2;128
Cyrus;1;234
Dahlia;1;213
Dai;1;39
Dakota;3;107
Dalton;2;92
