Salario;Qtd;Prim
R$5,001;1;607
R$5,007;1;712
R$5,012;2;496
R$5,017;1;395
R$5,021;1;791
R$5,026;3;257
R$5,035;2;452
R$5,038;1;93
R$5,050;1;601
R$5,051;1;620
R$5,057;2;386
R$5,081;1;944
R$5,099;1;914
R$5,100;1;35
R$5,111;2;432
R$5,113;1;98
R$5,129;1;796
R$5,143;1;645
R$5,155;2;465
R$5,158;1;163
R$5,168;1;719
R$5,172;1;239
R$5,213;1;149
R$5,214;2;162
R$5,219;1;676
R$5,225;1;332
R$5,238;1;863
R$5,241;1;661
R$5,242;1;938
R$5,246;1;979
R$5,252;1;283
R$5,270;1;962
R$5,271;1;364
R$5,272;1;340
R$5,274;1;122
R$5,277;1;792
R$5,283;1;771
R$5,290;1;947
R$5,291;1;299
R$5,292;1;67
R$5,300;2;310
R$5,301;1;85
R$5,334;2;459
R$5,335;2;622
R$5,346;2;854
R$5,347;1;223
R$5,350;1;288
R$5,359;1;75
R$5,362;1;690
R$5,385;1;49
R$5,388;1;967
R$5,400;1;245
R$5,401;1;737
R$5,407;1;110
R$5,412;1;803
R$5,414;1;339
R$5,435;2;472
R$5,436;1;279
R$5,438;1;65
R$5,439;2;403
R$5,441;1;387
R$5,444;1;794
R$5,450;1;29
R$5,452;1;334
R$5,455;1;943
R$5,466;1;393
R$5,468;1;706
R$5,473;2;127
R$5,482;1;195
R$5,492;3;500
R$5,493;1;786
R$5,495;2;448
R$5,497;1;289
R$5,511;1;323
R$5,515;1;141
R$5,517;1;848
R$5,520;1;884
R$5,522;2;440
R$5,524;2;174
R$5,531;1;801
R$5,557;1;284
R$5,562;1;293
R$5,564;1;652
R$5,573;1;783
R$5,575;1;208
R$5,582;1;818
R$5,587;1;359
R$5,607;1;621
R$5,609;3;4
R$5,611;1;190
R$5,616;1;973
R$5,626;1;263
R$5,635;1;699
R$5,646;2;416
R$5,647;1;897
R$5,663;1;371
R$5,666;1;113
R$5,677;1;136
R$5,688;1;767
R$5,697;1;184
R$5,707;2;108
R$5,729;1;950
R$5,730;1;729
R$5,749;1;917
R$5,754;1;811
R$5,755;2;413
R$5,759;1;998
R$5,765;1;961
R$5,766;1;206
R$5,767;1;147
R$5,771;1;875
R$5,782;2;445
R$5,794;2;408
R$5,796;1;759
R$5,800;1;100
R$5,801;1;984
R$5,809;1;185
R$5,816;1;905
R$5,824;2;248
R$5,835;2;230
R$5,837;1;155
R$5,851;1;178
R$5,852;2;428
R$5,853;1;829
R$5,856;1;809
R$5,863;1;898
R$5,868;1;940
R$5,875;1;755
R$5,879;1;960
R$5,882;1;747
R$5,883;1;187
R$5,885;1;212
R$5,894;1;137
R$5,907;1;375
R$5,908;1;61
R$5,909;1;182
R$5,911;1;680
R$5,919;2;351
R$5,927;1;261
R$5,929;1;754
R$5,930;1;157
R$5,933;1;836
R$5,940;1;817
R$5,943;1;705
R$5,957;1;895
R$5,971;1;166
R$5,973;1;68
R$5,978;1;856
R$5,980;1;56
R$5,985;2;421
R$5,986;1;391
R$5,991;1;382
R$5,996;1;54
R$6,002;1;732
R$6,009;1;953
R$6,010;1;785
R$6,028;1;348
R$6,033;2;487
R$6,040;1;158
R$6,043;1;954
R$6,050;1;308
R$6,060;1;177
R$6,085;1;758
R$6,088;2;752
R$6,099;2;42
R$6,118;1;860
R$6,120;1;274
R$6,149;1;319
R$6,155;1;228
R$6,160;1;835
R$6,168;1;7
R$6,175;1;335
R$6,176;1;370
R$6,185;1;673
R$6,192;3;211
R$6,197;1;355
R$6,217;1;13
R$6,228;1;810
R$6,236;1;144
R$6,265;1;925
R$6,270;2;498
R$6,271;1;37
R$6,277;1;939
R$6,278;1;977
R$6,279;1;88
R$6,282;2;458
R$6,292;2;419
R$6,296;1;994
R$6,297;1;232
R$6,302;1;643
R$6,306;1;272
R$6,308;1;760
R$6,314;2;474
R$6,321;1;381
R$6,322;1;19
R$6,328;1;125
R$6,348;1;201
R$6,361;1;102
R$6,368;3;345
R$6,372;1;927
R$6,379;1;321
R$6,385;1;193
R$6,386;1;890
R$6,388;1;324
R$6,391;1;723
R$6,399;1;915
R$6,401;1;322
R$6,407;1;237
R$6,409;1;265
R$6,417;3;489
R$6,421;1;683
R$6,423;1;603
R$6,431;1;722
R$6,433;1;229
R$6,436;1;128
R$6,442;1;280
R$6,444;1;304
R$6,445;1;135
R$6,450;2;444
R$6,463;1;782
R$6,465;1;615
R$6,467;1;287
R$6,471;2;725
R$6,496;1;77
R$6,499;1;154
R$6,502;1;80
R$6,503;1;751
R$6,505;1;101
R$6,512;1;251
R$6,514;1;368
R$6,518;2;411
R$6,524;1;290
R$6,534;2;16
R$6,539;2;297
R$6,542;1;33
R$6,550;1;904
R$6,553;1;813
R$6,557;1;365
R$6,561;1;215
R$6,564;2;425
R$6,586;2;454
R$6,588;1;197
R$6,590;1;907
R$6,601;1;352
R$6,606;1;631
R$6,612;1;328
R$6,618;1;763
R$6,629;1;651
R$6,633;1;902
R$6,634;1;679
R$6,637;1;930
R$6,639;1;788
R$6,644;2;415
R$6,657;1;344
R$6,660;1;903
R$6,662;1;159
R$6,666;1;987
R$6,669;1;336
R$6,683;1;726
R$6,685;1;87
R$6,686;1;952
R$6,688;3;380
R$6,689;1;921
