ED;ID;Cidade;Prox.Cidade
629;698;Abaetetuba;672
672;28;Abaetetuba;0
112;550;Ananindeua;819
819;125;Ananindeua;0
52;688;Anápolis;90
90;413;Anápolis;113
113;165;Anápolis;262
262;422;Anápolis;619
619;999;Anápolis;870
870;791;Anápolis;880
880;938;Anápolis;0
187;378;Aparecida de Goiânia;200
200;167;Aparecida de Goiânia;257
257;798;Aparecida de Goiânia;830
830;952;Aparecida de Goiânia;912
912;880;Aparecida de Goiânia;0
123;79;Açailândia;449
449;749;Açailândia;494
494;873;Açailândia;549
549;869;Açailândia;594
594;536;Açailândia;771
771;360;Açailândia;861
861;162;Açailândia;0
66;519;Bacabal;79
79;815;Bacabal;114
114;204;Bacabal;125
125;540;Bacabal;247
247;197;Bacabal;342
342;178;Bacabal;448
448;842;Bacabal;450
450;622;Bacabal;548
548;825;Bacabal;550
550;883;Bacabal;0
47;260;Balsas;96
96;234;Balsas;319
319;544;Balsas;333
333;948;Balsas;431
431;874;Balsas;467
467;706;Balsas;488
488;415;Balsas;531
531;92;Balsas;567
567;944;Balsas;588
588;346;Balsas;602
602;387;Balsas;687
687;623;Balsas;716
716;526;Balsas;0
37;296;Barra do Corda;81
81;424;Barra do Corda;120
120;718;Barra do Corda;310
310;3;Barra do Corda;393
393;353;Barra do Corda;614
614;607;Barra do Corda;657
657;892;Barra do Corda;940
940;50;Barra do Corda;0
144;658;Bayeux;995
995;45;Bayeux;997
997;853;Bayeux;0
100;931;Belford Roxo;108
108;96;Belford Roxo;196
196;383;Belford Roxo;321
321;200;Belford Roxo;893
893;569;Belford Roxo;975
975;408;Belford Roxo;0
101;775;Belo Horizonte;284
284;37;Belo Horizonte;302
302;375;Belo Horizonte;364
364;412;Belo Horizonte;391
391;305;Belo Horizonte;859
859;142;Belo Horizonte;0
818;731;Belém;842
842;984;Belém;897
897;291;Belém;0
116;113;Betim;381
381;280;Betim;669
669;940;Betim;708
708;867;Betim;763
763;317;Betim;953
953;463;Betim;0
63;995;Blumenau;254
254;29;Blumenau;680
680;991;Blumenau;703
703;732;Blumenau;871
871;14;Blumenau;967
967;559;Blumenau;984
984;134;Blumenau;0
154;885;Bragança;165
165;996;Bragança;0
226;774;Cabo de Santo Agostinho;279
279;475;Cabo de Santo Agostinho;376
376;609;Cabo de Santo Agostinho;404
404;974;Cabo de Santo Agostinho;439
439;907;Cabo de Santo Agostinho;504
504;618;Cabo de Santo Agostinho;539
539;708;Cabo de Santo Agostinho;743
743;107;Cabo de Santo Agostinho;773
773;256;Cabo de Santo Agostinho;779
779;756;Cabo de Santo Agostinho;806
806;821;Cabo de Santo Agostinho;864
864;899;Cabo de Santo Agostinho;991
991;409;Cabo de Santo Agostinho;0
34;395;Cajazeiras;266
266;104;Cajazeiras;296
296;84;Cajazeiras;0
85;516;Camaragibe;223
223;921;Camaragibe;369
369;829;Camaragibe;620
620;977;Camaragibe;722
722;308;Camaragibe;0
180;967;Camaçari;253
253;956;Camaçari;275
275;646;Camaçari;277
277;40;Camaçari;300
300;44;Camaçari;311
311;364;Camaçari;354
354;126;Camaçari;355
355;117;Camaçari;407
407;247;Camaçari;422
422;363;Camaçari;489
489;203;Camaçari;507
507;551;Camaçari;522
522;733;Camaçari;589
589;833;Camaçari;697
697;429;Camaçari;710
710;158;Camaçari;869
869;121;Camaçari;916
916;146;Camaçari;0
76;767;Cametá;211
211;512;Cametá;436
436;251;Cametá;536
536;531;Cametá;954
954;332;Cametá;0
146;746;Campina Grande;429
429;421;Campina Grande;529
529;572;Campina Grande;690
690;790;Campina Grande;795
795;979;Campina Grande;0
27;730;Campinas;38
38;216;Campinas;40
40;334;Campinas;109
109;720;Campinas;140
140;943;Campinas;212
212;18;Campinas;222
222;565;Campinas;286
286;696;Campinas;304
304;56;Campinas;309
309;712;Campinas;362
362;946;Campinas;363
363;525;Campinas;374
374;669;Campinas;398
398;62;Campinas;446
446;306;Campinas;468
468;711;Campinas;546
546;193;Campinas;568
568;602;Campinas;623
623;507;Campinas;644
644;884;Campinas;655
655;744;Campinas;767
767;552;Campinas;872
872;181;Campinas;902
902;100;Campinas;989
989;823;Campinas;0
162;872;Campos dos Goytacazes;204
204;63;Campos dos Goytacazes;301
301;157;Campos dos Goytacazes;416
416;348;Campos dos Goytacazes;516
516;77;Campos dos Goytacazes;698
698;22;Campos dos Goytacazes;730
730;190;Campos dos Goytacazes;753
753;94;Campos dos Goytacazes;0
99;323;Canoas;142
142;584;Canoas;486
486;583;Canoas;496
496;699;Canoas;586
586;537;Canoas;596
596;824;Canoas;654
654;55;Canoas;658
658;59;Canoas;907
907;465;Canoas;973
973;341;Canoas;0
9;546;Carapicuíba;55
55;161;Carapicuíba;58
58;684;Carapicuíba;59
59;73;Carapicuíba;61
61;715;Carapicuíba;75
75;703;Carapicuíba;168
168;814;Carapicuíba;305
305;279;Carapicuíba;307
307;747;Carapicuíba;403
403;707;Carapicuíba;427
427;942;Carapicuíba;458
458;964;Carapicuíba;459
459;12;Carapicuíba;503
503;455;Carapicuíba;527
527;474;Carapicuíba;558
558;754;Carapicuíba;559
559;15;Carapicuíba;605
605;23;Carapicuíba;621
621;254;Carapicuíba;625
625;524;Carapicuíba;726
726;393;Carapicuíba;739
739;211;Carapicuíba;754
754;48;Carapicuíba;841
841;971;Carapicuíba;843
843;93;Carapicuíba;888
888;568;Carapicuíba;968
968;137;Carapicuíba;981
981;729;Carapicuíba;0
23;527;Caruaru;485
485;433;Caruaru;585
585;521;Caruaru;750
750;576;Caruaru;0
130;131;Cascavel;252
252;448;Cascavel;778
778;792;Cascavel;839
839;916;Cascavel;931
931;176;Cascavel;982
982;640;Cascavel;0
138;67;Castanhal;149
149;156;Castanhal;379
379;502;Castanhal;410
410;841;Castanhal;418
418;255;Castanhal;451
451;932;Castanhal;510
510;417;Castanhal;518
518;435;Castanhal;551
551;21;Castanhal;678
678;242;Castanhal;0
5;226;Caucaia;289
289;926;Caucaia;350
350;941;Caucaia;357
357;760;Caucaia;776
776;288;Caucaia;909
909;763;Caucaia;0
445;277;Caxias;545
545;47;Caxias;766
766;822;Caxias;824
824;617;Caxias;0
3;896;Caxias do Sul;205
205;645;Caxias do Sul;239
239;148;Caxias do Sul;483
483;454;Caxias do Sul;583
583;796;Caxias do Sul;670
670;322;Caxias do Sul;761
761;462;Caxias do Sul;948
948;945;Caxias do Sul;961
961;1;Caxias do Sul;0
290;621;Chapadinha;344
344;206;Chapadinha;0
16;72;Chapecó;74
74;275;Chapecó;308
308;758;Chapecó;397
397;605;Chapecó;706
706;469;Chapecó;765
765;222;Chapecó;0
188;934;Codó;469
469;738;Codó;569
569;611;Codó;0
440;925;Colombo;473
473;541;Colombo;540
540;713;Colombo;573
573;858;Colombo;742
742;928;Colombo;0
64;517;Contagem;71
71;500;Contagem;405
405;741;Contagem;462
462;340;Contagem;505
505;752;Contagem;562
562;784;Contagem;709
709;225;Contagem;733
733;319;Contagem;846
846;581;Contagem;853
853;679;Contagem;922
922;817;Contagem;0
274;807;Crato;352
352;175;Crato;425
425;962;Crato;525
525;970;Crato;693
693;241;Crato;891
891;293;Crato;985
985;201;Crato;0
39;481;Criciúma;956
956;128;Criciúma;979
979;860;Criciúma;0
121;522;Curitiba;476
476;809;Curitiba;576
