ED;ID;Estado_Civil;Prox.Estado_Civil
2;335;Casado;6
6;691;Casado;10
10;494;Casado;11
11;838;Casado;17
17;88;Casado;26
26;879;Casado;29
29;739;Casado;31
31;808;Casado;34
34;395;Casado;41
41;385;Casado;43
43;406;Casado;49
49;171;Casado;60
60;850;Casado;64
64;517;Casado;71
71;500;Casado;72
72;53;Casado;74
74;275;Casado;77
77;751;Casado;78
78;210;Casado;79
79;815;Casado;82
82;248;Casado;83
83;321;Casado;86
86;961;Casado;91
91;888;Casado;93
93;304;Casado;97
97;219;Casado;99
99;323;Casado;106
106;631;Casado;117
117;470;Casado;123
123;79;Casado;125
125;540;Casado;128
128;920;Casado;137
137;893;Casado;146
146;746;Casado;154
154;885;Casado;156
156;327;Casado;158
158;947;Casado;163
163;237;Casado;166
166;428;Casado;176
176;851;Casado;181
181;717;Casado;182
182;43;Casado;184
184;366;Casado;185
185;456;Casado;195
195;724;Casado;197
197;777;Casado;199
199;664;Casado;205
205;645;Casado;210
210;816;Casado;211
211;512;Casado;213
213;818;Casado;215
215;582;Casado;218
218;672;Casado;225
225;673;Casado;231
231;910;Casado;240
240;601;Casado;243
243;477;Casado;245
245;436;Casado;252
252;448;Casado;256
256;351;Casado;259
259;76;Casado;270
270;927;Casado;273
273;7;Casado;281
281;545;Casado;283
283;292;Casado;286
286;696;Casado;290
290;621;Casado;294
294;857;Casado;298
298;983;Casado;306
306;794;Casado;311
311;364;Casado;315
315;91;Casado;316
316;924;Casado;317
317;370;Casado;321
321;200;Casado;322
322;865;Casado;326
326;391;Casado;338
338;384;Casado;342
342;178;Casado;347
347;785;Casado;350
350;941;Casado;352
352;175;Casado;353
353;930;Casado;357
357;760;Casado;359
359;681;Casado;361
361;108;Casado;366
366;690;Casado;368
368;152;Casado;369
369;829;Casado;370
370;574;Casado;375
375;913;Casado;379
379;502;Casado;382
382;987;Casado;383
383;919;Casado;388
388;506;Casado;395
395;616;Casado;396
396;904;Casado;397
397;605;Casado;398
398;62;Casado;399
399;734;Casado;402
402;654;Casado;406
406;908;Casado;410
410;841;Casado;413
413;233;Casado;418
418;255;Casado;421
421;24;Casado;422
422;363;Casado;423
423;487;Casado;430
430;324;Casado;431
431;874;Casado;433
433;915;Casado;439
439;907;Casado;442
442;912;Casado;445
445;277;Casado;450
450;622;Casado;451
451;932;Casado;453
453;168;Casado;455
455;361;Casado;458
458;964;Casado;459
459;12;Casado;465
465;232;Casado;466
466;898;Casado;467
467;706;Casado;472
472;917;Casado;475
475;887;Casado;478
478;151;Casado;484
484;655;Casado;492
492;336;Casado;494
494;873;Casado;502
502;612;Casado;506
506;250;Casado;510
510;417;Casado;513
513;358;Casado;518
518;435;Casado;521
521;630;Casado;522
522;733;Casado;523
523;532;Casado;530
530;155;Casado;531
531;92;Casado;533
533;312;Casado;539
539;708;Casado;542
542;661;Casado;545
545;47;Casado;550
550;883;Casado;551
551;21;Casado;553
553;615;Casado;555
555;480;Casado;558
558;754;Casado;559
559;15;Casado;565
565;591;Casado;566
566;177;Casado;567
567;944;Casado;572
572;314;Casado;575
575;478;Casado;578
578;543;Casado;584
584;849;Casado;592
592;217;Casado;594
594;536;Casado;607
607;513;Casado;622
622;805;Casado;623
623;507;Casado;634
634;949;Casado;641
641;667;Casado;646
646;976;Casado;650
650;289;Casado;651
651;301;Casado;652
652;683;Casado;655
655;744;Casado;656
656;208;Casado;683
683;573;Casado;691
691;894;Casado;696
696;839;Casado;700
700;727;Casado;707
707;759;Casado;717
717;377;Casado;718
718;503;Casado;719
719;674;Casado;723
723;31;Casado;725
725;36;Casado;734
734;229;Casado;743
743;107;Casado;744
744;70;Casado;750
750;576;Casado;755
755;561;Casado;761
761;462;Casado;763
763;317;Casado;764
764;138;Casado;767
767;552;Casado;771
771;360;Casado;779
779;756;Casado;780
780;195;Casado;781
781;923;Casado;784
784;347;Casado;785
785;828;Casado;786
786;780;Casado;788
788;394;Casado;801
801;464;Casado;805
805;728;Casado;813
813;133;Casado;814
814;111;Casado;815
815;182;Casado;824
824;617;Casado;829
829;214;Casado;835
835;704;Casado;839
839;916;Casado;853
853;679;Casado;858
858;449;Casado;859
859;142;Casado;860
860;316;Casado;865
865;997;Casado;873
873;665;Casado;878
878;339;Casado;883
883;359;Casado;884
884;786;Casado;885
885;840;Casado;887
887;65;Casado;889
889;955;Casado;891
891;293;Casado;892
892;185;Casado;898
898;801;Casado;900
900;418;Casado;902
902;100;Casado;905
905;575;Casado;907
907;465;Casado;912
912;880;Casado;913
913;224;Casado;914
914;6;Casado;915
915;441;Casado;917
917;965;Casado;918
918;32;Casado;920
920;968;Casado;928
928;530;Casado;929
929;782;Casado;936
936;901;Casado;942
942;644;Casado;947
947;476;Casado;948
948;945;Casado;951
951;467;Casado;953
953;463;Casado;957
957;721;Casado;958
958;101;Casado;959
959;826;Casado;968
968;137;Casado;969
969;376;Casado;970
970;859;Casado;972
972;589;Casado;981
981;729;Casado;987
987;489;Casado;988
988;567;Casado;990
990;4;Casado;994
994;990;Casado;998
998;882;Casado;0
5;226;Divorciado;8
8;266;Divorciado;14
14;447;Divorciado;15
15;130;Divorciado;16
16;72;Divorciado;18
18;371;Divorciado;23
23;527;Divorciado;24
24;529;Divorciado;30
30;459;Divorciado;33
33;253;Divorciado;47
47;260;Divorciado;48
48;868;Divorciado;51
51;835;Divorciado;56
56;437;Divorciado;57
57;597;Divorciado;59
59;73;Divorciado;65
65;328;Divorciado;66
66;519;Divorciado;73
73;320;Divorciado;81
81;424;Divorciado;85
85;516;Divorciado;89
89;566;Divorciado;92
92;135;Divorciado;94
94;788;Divorciado;96
96;234;Divorciado;103
103;863;Divorciado;107
107;273;Divorciado;108
108;96;Divorciado;109
109;720;Divorciado;112
112;550;Divorciado;116
116;113;Divorciado;119
119;39;Divorciado;122
122;862;Divorciado;130
130;131;Divorciado;139
139;963;Divorciado;143
143;890;Divorciado;144
144;658;Divorciado;148
148;71;Divorciado;153
153;723;Divorciado;155
155;633;Divorciado;160
160;230;Divorciado;162
162;872;Divorciado;167
167;398;Divorciado;168
168;814;Divorciado;169
169;143;Divorciado;170
170;593;Divorciado;173
173;755;Divorciado;174
174;625;Divorciado;175
175;183;Divorciado;187
187;378;Divorciado;188
188;934;Divorciado;189
189;847;Divorciado;196
196;383;Divorciado;198
198;294;Divorciado;214
214;169;Divorciado;219
219;577;Divorciado;226
