ED;ID;Nome;Prox.Nome
67;38;Abbot;374
374;669;Abbot;426
426;705;Abbot;526
526;295;Abbot;0
448;842;Abdul;548
548;825;Abdul;990
990;4;Abdul;0
55;161;Abigail;0
746;562;Abra;0
205;645;Abraham;211
211;512;Abraham;0
799;227;Acton;0
154;885;Adam;994
994;990;Adam;0
269;740;Adara;0
202;355;Addison;0
617;127;Adele;0
111;373;Adena;0
157;557;Adrian;0
673;153;Aidan;0
282;49;Aimee;0
475;887;Akeem;575
575;478;Akeem;0
722;308;Alana;0
639;112;Alden;0
866;458;Alea;0
360;245;Alec;422
422;363;Alec;522
522;733;Alec;0
409;878;Alexander;509
509;843;Alexander;0
813;133;Alexis;0
841;971;Alice;0
908;414;Alika;0
650;289;Aline;690
690;790;Aline;0
714;772;Allegra;0
862;806;Althea;0
910;103;Alvin;0
105;811;Alyssa;0
20;676;Amber;0
843;93;Amela;0
158;947;Amena;0
795;979;Amethyst;0
318;656;Amity;608
608;986;Amity;0
887;65;Amy;0
337;272;Anastasia;0
311;364;Angelica;706
706;469;Angelica;0
619;999;Anika;698
698;22;Anika;0
159;380;Anjolie;0
88;166;Anthony;0
109;720;Aphrodite;735
735;831;Aphrodite;0
992;628;Aquila;0
217;318;Arsenio;0
850;299;Ashely;0
812;939;Ashton;0
815;182;August;898
898;801;August;0
399;734;Aurelia;0
336;518;Austin;0
45;553;Ava;278
278;426;Ava;281
281;545;Ava;0
79;815;Avye;299
299;533;Avye;0
23;527;Axel;315
315;91;Axel;0
946;966;Ayanna;0
763;317;Barbara;0
66;519;Barclay;247
247;197;Barclay;0
113;165;Barry;197
197;777;Barry;0
443;313;Beatrice;543
543;58;Beatrice;0
606;726;Beck;0
429;421;Benedict;529
529;572;Benedict;0
296;84;Benjamin;996
996;954;Benjamin;0
676;580;Berk;0
38;216;Bernard;999
999;220;Bernard;0
333;948;Bethany;0
26;879;Bevis;0
624;520;Bianca;0
636;659;Blaze;0
635;136;Blythe;0
709;225;Boris;776
776;288;Boris;0
473;541;Brady;573
573;858;Brady;0
382;987;Brandon;0
258;445;Breanna;0
91;888;Brendan;262
262;422;Brendan;957
957;721;Brendan;991
991;409;Brendan;0
893;569;Brenden;0
687;623;Brennan;0
156;327;Brett;0
997;853;Brian;0
170;593;Britanney;0
142;584;Brooke;0
129;973;Bruce;0
2;335;Bryar;0
816;397;Brynn;0
674;488;Brynne;0
844;179;Buffy;0
726;393;Byron;0
319;544;Cadman;0
741;191;Caesar;0
49;171;Caleb;127
127;286;Caleb;0
323;608;Callie;806
806;821;Callie;897
897;291;Callie;0
99;323;Camden;371
371;389;Camden;649
649;120;Camden;0
851;804;Camille;0
744;70;Candace;0
979;860;Cara;0
196;383;Carissa;0
73;320;Carl;964
964;78;Carl;0
902;100;Carlos;0
983;246;Carson;0
122;862;Carter;0
147;442;Caryn;0
412;981;Casey;512
512;486;Casey;0
468;711;Cassandra;568
568;602;Cassandra;609
609;202;Cassandra;817
817;637;Cassandra;0
62;985;Castor;469
469;738;Castor;569
569;611;Castor;0
766;822;Catherine;978
978;86;Catherine;0
155;633;Cedric;646
646;976;Cedric;0
117;470;Celeste;0
148;71;Chadwick;883
883;359;Chadwick;0
819;125;Chaim;0
21;106;Chaney;263
263;769;Chaney;928
928;530;Chaney;0
275;646;Channing;791
791;590;Channing;0
401;109;Charity;501
501;290;Charity;0
14;447;Charlotte;878
878;339;Charlotte;0
713;508;Chava;0
778;792;Chelsea;0
292;509;Cherokee;0
654;55;Chloe;0
911;342;Christen;0
227;555;Christian;0
17;88;Christopher;0
680;991;Ciara;0
437;263;Ciaran;537
537;149;Ciaran;895
895;124;Ciaran;0
233;66;Claire;0
31;808;Clark;0
