ED;ID;Setor;Prox.Setor
1;657;Financeiro;8
8;266;Financeiro;15
15;130;Financeiro;17
17;88;Financeiro;28
28;61;Financeiro;40
40;334;Financeiro;47
47;260;Financeiro;69
69;787;Financeiro;75
75;703;Financeiro;115
115;431;Financeiro;123
123;79;Financeiro;124
124;420;Financeiro;137
137;893;Financeiro;138
138;67;Financeiro;141
141;105;Financeiro;170
170;593;Financeiro;176
176;851;Financeiro;204
204;63;Financeiro;209
209;778;Financeiro;223
223;921;Financeiro;228
228;27;Financeiro;237
237;700;Financeiro;238
238;443;Financeiro;250
250;771;Financeiro;272
272;745;Financeiro;273
273;7;Financeiro;278
278;426;Financeiro;291
291;325;Financeiro;318
318;656;Financeiro;322
322;865;Financeiro;328
328;620;Financeiro;344
344;206;Financeiro;346
346;897;Financeiro;358
358;446;Financeiro;361
361;108;Financeiro;374
374;669;Financeiro;375
375;913;Financeiro;379
379;502;Financeiro;390
390;160;Financeiro;394
394;189;Financeiro;432
432;285;Financeiro;438
438;709;Financeiro;454
454;122;Financeiro;466
466;898;Financeiro;468
468;711;Financeiro;489
489;203;Financeiro;495
495;51;Financeiro;497
497;365;Financeiro;532
532;982;Financeiro;538
538;311;Financeiro;554
554;598;Financeiro;566
566;177;Financeiro;568
568;602;Financeiro;589
589;833;Financeiro;595
595;416;Financeiro;597
597;482;Financeiro;603
603;682;Financeiro;616
616;20;Financeiro;633
633;614;Financeiro;636
636;659;Financeiro;645
645;492;Financeiro;657
657;892;Financeiro;689
689;267;Financeiro;698
698;22;Financeiro;702
702;11;Financeiro;716
716;526;Financeiro;720
720;333;Financeiro;725
725;36;Financeiro;734
734;229;Financeiro;736
736;989;Financeiro;737
737;761;Financeiro;753
753;94;Financeiro;754
754;48;Financeiro;819
819;125;Financeiro;825
825;239;Financeiro;842
842;984;Financeiro;848
848;337;Financeiro;864
864;899;Financeiro;887
887;65;Financeiro;922
922;817;Financeiro;925
925;400;Financeiro;944
944;563;Financeiro;950
950;599;Financeiro;972
972;589;Financeiro;977
977;810;Financeiro;983
983;246;Financeiro;984
984;134;Financeiro;986
986;905;Financeiro;0
9;546;Gerenciamento;13
13;762;Gerenciamento;25
25;82;Gerenciamento;34
34;395;Gerenciamento;39
39;481;Gerenciamento;52
52;688;Gerenciamento;53
53;13;Gerenciamento;58
58;684;Gerenciamento;60
60;850;Gerenciamento;62
62;985;Gerenciamento;68
68;75;Gerenciamento;88
88;166;Gerenciamento;98
98;410;Gerenciamento;113
113;165;Gerenciamento;127
127;286;Gerenciamento;129
129;973;Gerenciamento;131
131;523;Gerenciamento;140
140;943;Gerenciamento;157
157;557;Gerenciamento;163
163;237;Gerenciamento;165
165;996;Gerenciamento;168
168;814;Gerenciamento;189
189;847;Gerenciamento;196
196;383;Gerenciamento;199
199;664;Gerenciamento;205
205;645;Gerenciamento;206
206;240;Gerenciamento;212
212;18;Gerenciamento;222
222;565;Gerenciamento;251
251;430;Gerenciamento;253
253;956;Gerenciamento;257
257;798;Gerenciamento;263
263;769;Gerenciamento;276
276;139;Gerenciamento;286
286;696;Gerenciamento;298
298;983;Gerenciamento;301
301;157;Gerenciamento;332
332;799;Gerenciamento;335
335;800;Gerenciamento;369
369;829;Gerenciamento;372
372;969;Gerenciamento;373
373;848;Gerenciamento;412
412;981;Gerenciamento;442
442;912;Gerenciamento;449
449;749;Gerenciamento;453
453;168;Gerenciamento;456
456;484;Gerenciamento;462
462;340;Gerenciamento;474
474;236;Gerenciamento;478
478;151;Gerenciamento;479
479;499;Gerenciamento;483
483;454;Gerenciamento;499
499;736;Gerenciamento;512
