ED;ID;Sobrenome;Prox.Sobrenome
397;605;Acevedo;0
5;226;Albert;0
151;678;Alexander;968
968;137;Alexander;0
906;687;Allen;0
86;961;Alston;301
301;157;Alston;0
71;500;Alvarado;672
672;28;Alvarado;0
433;915;Alvarez;533
533;312;Alvarez;0
135;680;Anderson;0
413;233;Andrews;513
513;358;Andrews;646
646;976;Andrews;665
665;471;Andrews;0
347;785;Atkins;848
848;337;Atkins;0
447;132;Atkinson;547
547;495;Atkinson;0
54;578;Austin;0
403;707;Avila;503
503;455;Avila;0
621;254;Ayala;897
897;291;Ayala;0
484;655;Ayers;584
584;849;Ayers;0
369;829;Baird;0
270;927;Baldwin;472
472;917;Baldwin;572
572;314;Baldwin;0
980;215;Barber;0
249;357;Barnes;604
604;419;Barnes;0
354;126;Barnett;649
649;120;Barnett;745
745;861;Barnett;0
671;663;Barr;0
122;862;Barrera;0
408;243;Barron;508
508;668;Barron;0
977;810;Bartlett;0
241;852;Barton;0
879;150;Bates;0
12;199;Baxter;0
11;838;Beach;0
680;991;Bean;0
893;569;Beard;0
127;286;Bell;274
274;807;Bell;695
695;390;Bell;0
165;996;Bennett;404
404;974;Bennett;504
504;618;Bennett;0
358;446;Benson;396
396;904;Benson;896
896;922;Benson;0
628;46;Bernard;0
281;545;Berry;0
117;470;Bird;145
145;748;Bird;940
940;50;Bird;0
65;328;Black;0
355;117;Blackwell;922
922;817;Blackwell;0
368;152;Blake;0
147;442;Blanchard;0
759;937;Blankenship;0
415;427;Blevins;515
515;588;Blevins;0
288;490;Bonner;978
978;86;Bonner;0
158;947;Booker;0
629;698;Boone;0
264;832;Booth;0
756;192;Bowen;0
450;622;Bowers;550
550;883;Bowers;0
615;735;Bowman;0
159;380;Boyd;631
631;16;Boyd;779
779;756;Boyd;0
407;247;Boyer;507
507;551;Boyer;809
809;479;Boyer;0
959;826;Boyle;0
474;236;Bradford;574
574;468;Bradford;0
987;489;Bradley;0
742;928;Brady;0
166;428;Branch;973
973;341;Branch;0
460;695;Brennan;560
560;889;Brennan;0
276;139;Bridges;661
661;98;Bridges;0
801;464;Briggs;869
869;121;Briggs;0
411;881;Bright;511
511;701;Bright;0
654;55;Brock;0
25;82;Brown;198
198;294;Brown;0
903;694;Browning;0
239;148;Buchanan;0
697;429;Buckley;0
696;839;Bullock;0
161;460;Burch;0
4;619;Burke;948
948;945;Burke;0
469;738;Burks;569
569;611;Burks;0
958;101;Burns;0
866;458;Burton;0
319;544;Bush;0
991;409;Byers;0
14;447;Cabrera;378
378;662;Cabrera;0
272;745;Cain;449
449;749;Cain;549
549;869;Cain;892
892;185;Cain;0
820;326;Calderon;0
206;240;Calhoun;0
988;567;Camacho;0
881;64;Cameron;0
455;361;Cannon;555
555;480;Cannon;0
642;140;Carlson;0
950;599;Carpenter;0
781;923;Carroll;0
40;334;Carson;0
257;798;Carter;286
286;696;Carter;0
375;913;Carver;862
862;806;Carver;954
954;332;Carver;0
426;705;Case;526
526;295;Case;806
806;821;Case;0
451;932;Casey;551
551;21;Casey;765
765;222;Casey;0
120;718;Castaneda;0
402;654;Castillo;502
502;612;Castillo;0
334;147;Castro;0
237;700;Chan;880
880;938;Chan;0
