ED;ID;Data_Nascimento;Prox.Data_Nascimento
961;1;21/01/15;0
867;2;03/10/92;0
310;3;12/01/52;0
990;4;02/06/67;0
807;5;26/09/89;0
914;6;01/11/88;0
273;7;08/08/92;0
845;8;16/07/12;0
890;9;10/01/60;0
498;10;02/12/46;598
702;11;10/12/47;0
459;12;04/10/92;559
53;13;21/04/09;0
871;14;07/06/48;0
559;15;04/10/92;0
631;16;23/05/76;0
463;17;28/01/94;563
212;18;13/08/62;0
481;19;01/05/62;581
616;20;05/08/17;0
551;21;12/01/96;0
698;22;21/12/55;0
605;23;10/01/79;0
421;24;09/01/30;521
749;25;01/06/55;0
852;26;29/01/48;0
228;27;15/06/89;0
672;28;16/02/13;0
254;29;07/11/64;0
688;30;05/06/77;0
723;31;31/01/94;0
918;32;17/09/59;0
564;33;02/12/85;0
70;34;12/05/78;0
561;35;07/10/91;0
725;36;06/05/61;0
284;37;23/04/11;0
67;38;21/08/58;0
119;39;24/12/59;0
277;40;21/04/31;0
955;41;06/06/01;0
684;42;04/01/12;0
182;43;01/11/87;0
300;44;20/09/49;0
995;45;20/09/69;0
628;46;28/08/64;0
545;47;21/03/34;0
754;48;30/06/79;0
282;49;12/04/16;0
940;50;22/10/50;0
495;51;03/09/33;595
132;52;15/11/95;0
72;53;26/08/39;0
618;54;19/01/80;0
654;55;24/08/72;0
304;56;24/08/51;0
44;57;18/02/54;0
543;58;03/03/80;0
658;59;25/01/97;0
627;60;06/01/80;0
28;61;15/06/55;0
398;62;04/02/47;0
204;63;10/11/44;0
881;64;29/09/12;0
887;65;06/05/70;0
233;66;29/10/99;0
138;67;20/08/56;0
803;68;04/10/87;0
904;69;29/03/92;0
744;70;03/03/04;0
148;71;03/12/17;0
16;72;07/08/45;0
59;73;08/11/06;0
46;74;06/03/84;0
68;75;12/10/54;0
259;76;28/01/62;0
516;77;08/05/95;0
964;78;03/03/73;0
123;79;31/07/60;0
186;80;16/08/88;0
424;81;04/07/87;524
25;82;03/10/49;0
571;83;26/11/57;0
296;84;04/12/48;0
220;85;13/11/83;0
978;86;15/07/45;0
934;87;29/05/97;0
17;88;04/06/96;0
367;89;08/07/98;0
938;90;09/12/68;0
315;91;15/10/38;0
531;92;30/12/57;0
843;93;01/05/53;0
753;94;04/03/35;0
783;95;15/04/35;0
108;96;24/10/07;0
235;97;01/02/90;0
661;98;15/03/47;0
945;99;20/02/56;0
902;100;21/02/64;0
958;101;18/07/83;0
392;102;23/09/17;0
910;103;25/02/64;0
266;104;18/04/83;0
141;105;28/11/60;0
21;106;20/12/41;0
743;107;13/08/80;0
361;108;10/05/59;0
401;109;23/09/49;501
208;110;12/02/18;0
814;111;20/11/13;0
639;112;05/10/71;0
116;113;02/12/80;0
667;114;05/09/50;0
637;115;16/02/16;0
662;116;18/07/55;0
355;117;14/06/57;0
343;118;24/09/06;0
519;119;16/02/13;672
649;120;04/11/30;0
869;121;21/10/62;0
454;122;05/03/44;554
345;123;24/10/80;0
895;124;28/07/33;0
819;125;04/10/60;0
354;126;31/08/15;0
617;127;29/01/92;0
956;128;11/02/05;0
675;129;04/01/47;0
15;130;25/08/79;0
130;131;24/04/02;0
447;132;17/11/89;547
813;133;09/02/82;0
984;134;14/12/91;0
92;135;04/02/33;0
635;136;05/04/59;0
968;137;04/10/35;0
764;138;08/07/17;0
276;139;12/02/56;0
642;140;20/10/73;0
441;141;22/03/75;541
859;142;28/05/63;0
169;143;15/04/30;0
464;144;02/12/85;564
207;145;30/09/13;0
916;146;15/01/58;0
334;147;08/05/79;0
239;148;10/05/96;0
537;149;08/03/43;0
879;150;25/12/99;0
478;151;25/12/80;578
368;152;19/02/96;0
673;153;21/07/75;0
751;154;01/08/46;0
530;155;30/08/03;0
149;156;02/08/79;0
301;157;22/06/92;0
710;158;17/09/00;0
679;159;04/01/04;0
390;160;22/09/91;0
55;161;25/12/43;0
861;162;29/04/65;0
576;163;25/11/51;0
794;164;30/07/53;0
113;165;13/05/47;0
88;166;28/06/85;0
200;167;05/08/57;0
453;168;12/07/84;553
214;169;04/11/72;0
444;170;17/08/60;544
49;171;06/11/32;0
295;172;23/06/93;0
183;173;08/07/61;0
941;174;12/08/09;0
352;175;17/04/55;0
931;176;31/07/90;0
566;177;29/07/17;0
342;178;05/10/18;0
844;179;27/01/91;0
798;180;11/05/91;0
872;181;21/01/56;0
815;182;21/10/72;0
175;183;27/01/13;0
557;184;20/06/65;0
892;185;24/08/79;0
802;186;21/10/40;0
826;187;17/06/31;0
876;188;31/08/86;0
394;189;05/02/49;0
730;190;21/08/10;0
741;191;29/10/54;0
756;192;13/01/80;0
546;193;17/09/43;0
777;194;05/03/41;0
780;195;04/06/47;0
666;196;07/05/93;0
247;197;21/07/83;0
648;198;04/10/06;0
12;199;18/11/54;0
321;200;05/10/99;0
985;201;02/02/97;0
609;202;16/03/53;0
489;203;24/03/46;589
114;204;09/08/82;0
400;205;07/11/45;0
344;206;16/06/77;0
552;207;20/05/96;0
656;208;27/10/90;0
246;209;07/02/34;0
78;210;02/04/93;0
739;211;05/05/37;0
351;212;04/05/13;0
271;213;12/06/07;0
829;214;27/05/84;0
980;215;29/04/95;0
38;216;11/01/44;0
592;217;09/08/57;0
133;218;01/02/76;0
97;219;21/06/39;0
999;220;16/12/31;0
242;221;03/10/73;0
765;222;03/01/96;0
22;223;05/06/04;0
913;224;30/07/74;0
709;225;23/05/19;0
5;226;01/01/70;0
799;227;28/01/88;0
966;228;25/03/39;0
734;229;16/07/91;0
160;230;06/05/35;0
490;231;04/06/59;590
465;232;06/02/40;565
413;233;30/12/65;513
96;234;27/08/59;0
939;235;12/02/04;0
474;236;24/05/08;574
163;237;29/07/57;0
232;238;13/03/10;0
825;239;21/07/34;0
206;240;05/07/15;0
693;241;25/04/14;0
678;242;20/08/48;0
408;243;18/06/18;508
768;244;23/10/38;0
360;245;08/11/41;0
983;246;10/09/69;0
407;247;18/12/85;507
82;248;10/09/07;0
152;249;29/05/84;0
506;250;25/04/70;0
436;251;24/04/67;536
193;252;16/06/48;0
33;253;12/12/07;0
621;254;24/02/89;0
418;255;13/06/46;518
773;256;27/06/64;0
792;257;25/01/50;0
611;258;16/01/14;0
221;259;01/01/42;0
47;260;18/06/33;0
976;261;03/07/63;0
757;262;21/09/60;0
437;263;08/03/43;537
782;264;29/02/00;0
935;265;06/08/35;0
8;266;05/04/65;0
689;267;03/01/90;0
770;268;18/03/90;0
419;269;16/02/13;519
556;270;21/11/07;0
834;271;25/08/06;0
337;272;17/08/08;0
107;273;21/11/49;0
837;274;24/12/42;0
74;275;25/08/52;0
19;276;24/05/30;0
445;277;21/03/34;545
314;278;18/08/75;0
305;279;02/04/94;0
381;280;23/05/82;0
974;281;04/05/49;0
831;282;06/03/89;0
840;283;06/03/49;0
727;284;06/04/96;0
432;285;30/07/91;532
127;286;23/06/50;0
287;287;02/04/36;0
776;288;07/05/50;0
650;289;11/01/57;0
501;290;23/09/49;0
897;291;07/09/05;0
283;292;25/09/43;0
891;293;05/02/08;0
198;294;14/06/51;0
526;295;08/08/00;0
37;296;27/05/19;0
331;297;13/08/36;0
685;298;15/05/38;0
850;299;24/08/71;0
772;300;01/07/40;0
651;301;06/09/60;0
775;302;16/02/36;0
647;303;01/04/88;0
93;304;28/10/31;0
391;305;04/05/37;0
446;306;17/09/43;546
591;307;09/02/73;0
722;308;05/11/31;0
389;309;02/05/19;0
712;310;13/09/84;0
538;311;19/12/39;0
533;312;12/10/62;0
443;313;03/03/80;543
572;314;31/05/36;0
927;315;24/02/82;0
860;316;31/05/52;0
763;317;11/08/37;0
217;318;10/05/31;0
733;319;17/01/34;0
73;320;05/09/82;0
83;321;17/05/62;0
670;322;26/11/58;0
99;323;20/09/15;0
430;324;30/08/03;530
291;325;29/12/80;0
820;326;23/03/46;0
156;327;26/02/44;0
65;328;21/02/69;0
179;329;15/06/36;0
95;330;16/10/83;0
312;331;16/12/64;0
954;332;03/07/51;0
720;333;16/10/91;0
40;334;24/12/48;0
2;335;15/01/10;0
492;336;09/08/57;592
848;337;17/09/76;0
387;338;16/04/37;0
878;339;17/06/69;0
462;340;14/08/12;562
973;341;07/08/76;0
911;342;30/04/44;0
477;343;14/10/67;577
414;344;19/08/92;514
339;345;21/09/89;0
588;346;17/02/95;0
784;347;20/02/36;0
416;348;08/05/95;516
899;349;02/11/03;0
192;350;19/09/34;0
256;351;30/04/53;0
949;352;02/11/80;0
393;353;30/05/35;0
682;354;18/03/52;0
202;355;11/03/65;0
601;356;15/09/67;0
249;357;09/08/49;0
513;358;30/12/65;0
883;359;07/04/69;0
771;360;02/10/37;0
455;361;16/06/02;555
681;362;01/01/72;0
422;363;04/11/92;522
311;364;15/07/92;0
497;365;02/11/13;597
184;366;12/06/72;0
452;367;20/05/96;552
434;368;22/07/73;534
924;369;06/09/48;0
317;370;27/02/06;0
18;371;03/07/75;0
963;372;09/07/49;0
111;373;04/11/08;0
769;374;19/03/09;0
302;375;26/04/66;0
969;376;18/03/33;0
717;377;14/11/83;0
187;378;17/12/37;0
340;379;26/06/62;0
159;380;07/06/05;0
234;381;06/05/03;0
36;382;28/02/59;0
196;383;20/11/42;0
338;384;11/07/93;0
41;385;17/01/13;0
544;386;17/08/60;0
602;387;11/01/31;0
150;388;12/11/81;0
371;389;07/07/72;0
695;390;16/08/45;0
326;391;08/01/30;0
356;392;21/06/73;0
726;393;27/12/77;0
788;394;21/09/01;0
34;395;05/04/18;0
126;396;02/10/47;0
816;397;08/09/87;0
167;398;19/05/32;0
694;399;03/12/98;0
925;400;24/03/39;0
919;401;18/02/95;0
930;402;09/07/61;0
348;403;16/01/30;0
762;404;01/12/75;0
517;405;24/08/87;0
43;406;20/03/36;0
285;407;26/06/62;340
975;408;20/12/61;0
991;409;10/03/41;0
98;410;01/09/30;0
732;411;23/11/46;0
364;412;21/09/62;0
90;413;07/08/91;0
908;414;01/09/80;0
488;415;17/02/95;588
595;416;03/09/33;0
510;417;26/04/32;0
900;418;12/02/70;0
604;419;27/10/75;0
124;420;31/12/46;0
429;421;28/03/16;529
262;422;01/12/53;0
236;423;01/11/81;494
81;424;23/12/97;0
313;425;28/06/68;0
278;426;28/10/67;0
415;427;19/12/05;515
166;428;20/03/90;0
697;429;16/07/91;734
251;430;15/08/01;0
115;431;12/03/34;0
32;432;28/02/12;0
485;433;26/06/95;585
875;434;19/01/32;0
518;435;13/06/46;0
245;436;19/02/92;0
56;437;26/04/60;0
659;438;20/11/47;0
804;439;22/10/91;830
487;440;09/04/39;587
915;441;08/02/93;0
147;442;12/05/58;0
238;443;03/01/83;0
822;444;13/09/87;0
258;445;25/04/67;0
358;446;13/01/67;0
14;447;08/03/79;0
252;448;31/08/41;0
858;449;20/05/16;0
943;450;09/07/46;0
933;451;21/03/99;0
699;452;02/02/65;0
886;453;16/02/63;0
483;454;06/01/08;583
503;455;21/01/00;0
185;456;14/02/82;0
520;457;22/04/02;0
866;458;25/07/96;0
30;459;17/06/68;0
161;460;06/09/17;0
194;461;30/06/69;0
761;462;21/06/16;0
953;463;12/12/37;0
801;464;12/04/06;0
907;465;17/06/48;0
863;466;12/07/84;0
951;467;02/07/34;0
574;468;24/05/08;0
706;469;26/07/86;0
117;470;07/06/58;0
665;471;21/07/82;0
760;472;16/04/82;0
491;473;09/02/73;591
527;474;12/06/12;0
279;475;01/11/78;0
947;476;21/08/85;0
243;477;04/12/08;0
575;478;14/06/77;0
809;479;31/03/66;0
555;480;16/06/02;0
39;481;21/09/70;0
597;482;02/11/13;0
728;483;20/10/90;0
456;484;21/11/07;556
828;485;07/09/64;0
512;486;04/08/35;0
423;487;06/03/58;523
674;488;06/12/78;0
987;489;25/03/46;0
288;490;30/09/46;0
640;491;11/03/36;0
645;492;04/11/01;0
330;493;01/09/47;0
10;494;10/04/19;0
547;495;17/11/89;0
626;496;18/02/78;0
541;497;22/03/75;0
104;498;18/02/41;0
479;499;26/07/83;579
71;500;21/03/37;0
838;501;07/09/97;0
379;502;21/08/75;0
718;503;19/11/89;0
721;504;03/08/61;0
216;505;25/12/02;0
388;506;10/07/05;0
623;507;15/07/85;0
713;508;27/10/73;0
292;509;24/10/44;0
420;510;22/04/02;520
1000;511;06/09/76;0
211;512;24/03/73;0
607;513;15/07/07;0
692;514;01/02/71;0
740;515;09/08/69;0
85;516;19/12/79;0
64;517;30/05/38;0
336;518;14/09/11;0
66;519;12/07/62;0
624;520;03/05/50;0
585;521;26/06/95;0
121;522;20/04/54;0
131;523;05/11/42;0
625;524;04/03/58;0
363;525;27/12/89;0
716;526;23/06/58;0
23;527;14/02/88;0
457;528;20/06/65;557
24;529;01/07/75;303
928;530;21/09/53;0
536;531;24/04/67;0
523;532;06/03/58;0
299;533;14/11/84;0
461;534;07/10/91;561
600;535;16/03/31;0
