ED;ID;Estado;Prox.Estado
961;1;Rio Grande do Sul;974
867;2;MG;879
310;3;Maranhão;319
990;4;RJ;0
807;5;São Paulo;809
914;6;MG;943
273;7;Bahia;275
845;8;Rio de Janeiro;852
890;9;SP;911
498;10;RS;509
702;11;SP;707
459;12;SP;468
53;13;SP;57
871;14;Santa Catarina;934
559;15;SP;568
631;16;PE;634
463;17;Pernambuco;504
212;18;SP;219
481;19;RJ;516
616;20;Bahia;653
551;21;Pará;629
698;22;RJ;751
605;23;São Paulo;607
421;24;BA;422
749;25;BA;798
852;26;Rio de Janeiro;857
228;27;Goiás;229
672;28;Pará;772
254;29;SC;264
688;30;PR;725
723;31;São Paulo;726
918;32;Minas Gerais;922
564;33;SC;706
70;34;São Paulo;78
561;35;RS;583
725;36;PR;732
284;37;Minas Gerais;287
67;38;SP;75
119;39;SP;126
277;40;BA;288
955;41;Rio Grande do Sul;961
684;42;RJ;695
182;43;RJ;192
300;44;BA;311
995;45;PB;997
628;46;SP;632
545;47;Maranhão;548
754;48;SP;756
282;49;Rio de Janeiro;297
940;50;MA;951
495;51;São Paulo;497
132;52;São Paulo;137
72;53;MG;87
618;54;SP;621
654;55;RS;658
304;56;São Paulo;307
44;57;SP;50
543;58;MG;557
658;59;RS;711
627;60;SP;628
28;61;Bahia;43
398;62;SP;417
204;63;Rio de Janeiro;210
881;64;SP;884
887;65;Rio Grande do Sul;900
233;66;SP;238
138;67;Pará;150
803;68;SP;804
904;69;São Paulo;905
744;70;São Paulo;768
148;71;MG;156
16;72;SC;20
59;73;SP;62
46;74;Pará;76
68;75;São Paulo;70
259;76;SP;268
516;77;RJ;581
964;78;MG;965
123;79;MA;125
186;80;Santa Catarina;249
424;81;SP;435
25;82;Santa Catarina;63
571;83;MA;614
296;84;Paraíba;329
220;85;Rio de Janeiro;282
978;86;São Paulo;980
934;87;Santa Catarina;956
17;88;SP;24
367;89;PE;369
938;90;PA;954
315;91;BA;332
531;92;Maranhão;545
843;93;São Paulo;844
753;94;RJ;755
783;95;São Paulo;786
108;96;RJ;141
235;97;SC;254
661;98;São Paulo;666
945;99;Minas Gerais;972
902;100;São Paulo;904
958;101;GO;969
392;102;São Paulo;394
910;103;Goiás;988
266;104;Paraíba;296
141;105;RJ;151
21;106;Paraíba;144
743;107;Pernambuco;773
361;108;Paraná;484
401;109;São Paulo;403
208;110;São Paulo;221
814;111;PR;822
639;112;CE;693
116;113;MG;131
667;114;Pernambuco;722
637;115;São Paulo;644
662;116;Minas Gerais;689
355;117;BA;368
343;118;RS;409
519;119;SP;523
