ED;ID;Salario;Prox.Salario
961;1;R$5,765;0
867;2;R$9,636;0
310;3;R$5,300;816
990;4;R$7,724;0
807;5;R$6,882;0
914;6;R$5,099;0
273;7;R$8,442;0
845;8;R$8,560;0
890;9;R$6,386;0
498;10;R$6,270;598
702;11;R$9,986;0
459;12;R$5,334;559
53;13;R$7,736;0
871;14;R$8,970;0
559;15;R$5,334;0
631;16;R$6,606;0
463;17;R$9,985;563
212;18;R$5,885;0
481;19;R$8,867;581
616;20;R$9,959;0
551;21;R$6,192;0
698;22;R$9,422;0
605;23;R$8,054;0
421;24;R$5,985;521
749;25;R$7,674;0
852;26;R$7,923;0
228;27;R$6,155;0
672;28;R$8,364;0
254;29;R$9,089;0
688;30;R$6,960;0
723;31;R$6,391;0
918;32;R$8,089;0
564;33;R$8,780;0
70;34;R$9,219;418
561;35;R$7,850;0
725;36;R$6,471;746
284;37;R$5,557;0
67;38;R$5,292;0
119;39;R$8,967;0
277;40;R$6,928;0
955;41;R$8,267;975
684;42;R$9,412;0
182;43;R$5,909;0
300;44;R$7,210;0
995;45;R$6,966;0
628;46;R$8,661;0
545;47;R$5,782;0
754;48;R$5,929;0
282;49;R$7,525;0
940;50;R$5,868;0
495;51;R$9,425;595
132;52;R$9,460;0
72;53;R$6,871;0
618;54;R$6,694;0
654;55;R$5,214;0
304;56;R$6,444;0
44;57;R$8,545;0
543;58;R$9,240;986
658;59;R$8,988;717
627;60;R$8,182;0
28;61;R$8,158;0
398;62;R$8,281;0
204;63;R$8,206;0
881;64;R$8,481;0
887;65;R$7,544;0
233;66;R$7,602;0
138;67;R$7,400;0
803;68;R$5,412;0
904;69;R$6,550;0
744;70;R$8,864;0
148;71;R$9,821;0
16;72;R$6,534;394
59;73;R$8,523;0
46;74;R$8,941;0
68;75;R$5,973;0
259;76;R$7,906;0
516;77;R$5,646;0
964;78;R$7,663;0
123;79;R$9,418;0
186;80;R$8,780;464
424;81;R$9,259;524
25;82;R$9,406;0
571;83;R$9,955;0
296;84;R$9,368;0
220;85;R$7,208;0
978;86;R$8,309;997
934;87;R$8,596;0
17;88;R$8,698;0
367;89;R$8,688;0
938;90;R$5,242;0
315;91;R$9,423;0
531;92;R$5,609;0
843;93;R$8,818;0
753;94;R$8,552;0
783;95;R$5,573;0
108;96;R$5,707;399
235;97;R$9,832;0
661;98;R$5,241;0
945;99;R$7,855;0
902;100;R$6,633;0
958;101;R$8,601;0
392;102;R$9,771;0
910;103;R$7,621;0
266;104;R$9,594;0
141;105;R$5,515;0
21;106;R$7,966;0
743;107;R$6,417;0
361;108;R$8,012;0
401;109;R$7,784;501
208;110;R$5,575;0
814;111;R$7,643;0
639;112;R$9,734;0
116;113;R$7,127;0
667;114;R$7,553;0
637;115;R$7,023;0
662;116;R$9,053;0
355;117;R$6,197;0
343;118;R$8,486;0
519;119;R$6,292;0
649;120;R$9,167;0
869;121;R$7,876;0
454;122;R$6,586;554
345;123;R$6,368;410
895;124;R$5,957;0
819;125;R$7,591;0
354;126;R$9,756;0
617;127;R$7,145;0
956;128;R$6,873;0
675;129;R$8,560;845
15;130;R$8,752;0
130;131;R$8,714;0
447;132;R$9,658;547
813;133;R$6,553;0
984;134;R$5,801;0
92;135;R$8,326;0
635;136;R$9,019;0
968;137;R$8,651;0
764;138;R$9,354;0
276;139;R$9,465;0
642;140;R$9,400;0
441;141;R$7,425;509
859;142;R$9,349;0
169;143;R$9,264;0
464;144;R$8,780;564
207;145;R$8,285;0
916;146;R$8,811;0
334;147;R$5,452;0
239;148;R$5,172;0
537;149;R$7,356;0
879;150;R$6,924;0
478;151;R$9,573;578
368;152;R$6,514;0
673;153;R$6,185;0
751;154;R$6,503;0
530;155;R$8,521;0
149;156;R$5,213;0
301;157;R$8,960;0
710;158;R$5,026;0
679;159;R$6,634;0
390;160;R$7,824;0
55;161;R$6,760;0
861;162;R$5,335;0
576;163;R$8,835;0
794;164;R$5,444;0
113;165;R$5,666;0
88;166;R$6,279;0
200;167;R$7,519;0
453;168;R$8,888;553
214;169;R$8,034;0
444;170;R$6,450;544
49;171;R$5,385;0
295;172;R$7,349;0
183;173;R$8,985;891
941;174;R$8,972;0
352;175;R$6,601;0
931;176;R$9,754;0
566;177;R$7,370;0
342;178;R$8,764;0
844;179;R$5,919;0
798;180;R$9,392;0
872;181;R$7,949;0
815;182;R$9,976;880
175;183;R$9,807;0
557;184;R$6,730;0
892;185;R$9,745;0
802;186;R$8,947;0
826;187;R$9,120;0
876;188;R$8,304;0
394;189;R$6,534;0
730;190;R$8,653;0
741;191;R$9,556;0
756;192;R$9,685;0
546;193;R$9,588;0
777;194;R$6,784;0
780;195;R$7,350;0
666;196;R$7,981;0
247;197;R$9,024;0
648;198;R$9,816;0
12;199;R$7,382;0
321;200;R$6,379;0
985;201;R$8,053;0
609;202;R$6,697;0
489;203;R$6,417;589
114;204;R$7,532;0
400;205;R$5,026;710
344;206;R$6,657;0
552;207;R$5,035;0
656;208;R$7,995;0
246;209;R$7,790;0
78;210;R$8,769;0
739;211;R$9,093;0
351;212;R$5,919;844
271;213;R$7,213;0
829;214;R$5,853;0
980;215;R$7,386;0
38;216;R$7,497;0
592;217;R$8,704;0
133;218;R$8,922;0
97;219;R$9,199;196
999;220;R$8,427;0
242;221;R$6,977;0
765;222;R$7,245;0
22;223;R$7,044;0
913;224;R$9,837;0
709;225;R$9,992;0
5;226;R$6,778;0
799;227;R$8,331;0
966;228;R$7,267;0
734;229;R$9,131;0
160;230;R$8,402;0
490;231;R$8,279;590
465;232;R$5,155;565
413;233;R$5,755;513
96;234;R$9,762;0
939;235;R$6,277;0
474;236;R$6,314;574
163;237;R$5,158;0
232;238;R$6,297;0
825;239;R$6,827;0
206;240;R$5,766;0
693;241;R$9,463;0
678;242;R$7,099;0
408;243;R$5,794;508
768;244;R$7,681;0
360;245;R$9,177;0
983;246;R$6,704;0
407;247;R$8,400;507
82;248;R$7,650;0
152;249;R$7,584;0
506;250;R$9,973;0
436;251;R$8,628;536
193;252;R$6,385;0
33;253;R$6,542;0
621;254;R$5,607;0
418;255;R$9,219;518
773;256;R$9,931;0
792;257;R$5,277;0
611;258;R$8,425;0
221;259;R$8,837;0
47;260;R$8,441;0
976;261;R$9,571;0
757;262;R$9,682;0
437;263;R$7,356;537
782;264;R$6,463;0
935;265;R$8,204;0
8;266;R$9,339;0
689;267;R$9,453;0
770;268;R$9,921;0
419;269;R$6,292;519
556;270;R$7,508;0
834;271;R$9,236;0
337;272;R$9,168;0
107;273;R$9,111;0
837;274;R$7,941;0
74;275;R$9,092;761
19;276;R$6,322;0
445;277;R$5,782;545
314;278;R$7,760;0
305;279;R$7,908;0
381;280;R$6,321;0
974;281;R$7,572;0
831;282;R$8,133;0
840;283;R$7,155;0
727;284;R$8,585;0
432;285;R$5,111;532
127;286;R$5,473;614
287;287;R$6,467;0
776;288;R$9,077;0
650;289;R$8,017;0
501;290;R$7,784;0
897;291;R$5,647;0
283;292;R$5,252;0
891;293;R$8,985;0
198;294;R$7,461;0
526;295;R$8,269;0
37;296;R$6,271;0
331;297;R$7,430;0
685;298;R$9,945;0
850;299;R$7,336;0
772;300;R$6,706;0
651;301;R$6,629;0
775;302;R$9,270;0
647;303;R$6,971;0
93;304;R$5,038;0
391;305;R$5,986;0
446;306;R$9,588;546
591;307;R$7,890;0
722;308;R$6,431;0
389;309;R$7,373;0
712;310;R$5,007;0
538;311;R$7,320;0
533;312;R$7,535;0
443;313;R$9,240;543
572;314;R$5,435;0
927;315;R$6,372;0
860;316;R$6,118;0
763;317;R$6,618;0
217;318;R$9,994;0
733;319;R$9,142;0
73;320;R$8,657;0
83;321;R$9,555;0
670;322;R$8,690;0
99;323;R$9,787;0
430;324;R$8,521;530
291;325;R$9,702;0
820;326;R$9,602;0
156;327;R$6,930;0
65;328;R$5,438;0
179;329;R$7,763;0
95;330;R$8,037;0
312;331;R$8,870;0
954;332;R$6,043;0
720;333;R$6,811;0
40;334;R$8,984;0
2;335;R$8,431;0
492;336;R$8,704;592
848;337;R$5,517;0
387;338;R$5,441;0
878;339;R$7,188;0
462;340;R$6,813;562
973;341;R$5,616;0
911;342;R$7,451;0
477;343;R$9,835;577
414;344;R$8,482;514
339;345;R$5,414;0
588;346;R$8,702;0
784;347;R$7,603;0
416;348;R$5,646;516
899;349;R$9,154;0
192;350;R$6,910;0
256;351;R$9,127;0
949;352;R$8,286;0
393;353;R$5,466;0
682;354;R$9,503;0
202;355;R$7,030;0
601;356;R$5,050;0
249;357;R$7,476;0
513;358;R$5,755;0
883;359;R$8,788;0
771;360;R$5,283;0
455;361;R$8,164;555
681;362;R$9,204;0
422;363;R$9,336;522
311;364;R$9,999;0
497;365;R$9,776;597
184;366;R$5,697;0
452;367;R$5,035;552
434;368;R$7,543;534
924;369;R$7,367;0
317;370;R$7,254;0
18;371;R$9,673;0
963;372;R$6,807;988
111;373;R$9,203;0
769;374;R$7,522;0
302;375;R$8,169;378
969;376;R$9,549;0
717;377;R$8,988;0
187;378;R$5,883;0
340;379;R$5,272;0
159;380;R$6,662;0
234;381;R$7,875;0
36;382;R$9,997;0
196;383;R$9,199;0
338;384;R$9,090;0
41;385;R$8,884;713
544;386;R$6,450;0
602;387;R$9,606;0
150;388;R$9,305;0
371;389;R$5,663;0
695;390;R$9,919;0
326;391;R$8,729;0
356;392;R$8,053;697
726;393;R$6,683;0
788;394;R$6,639;0
34;395;R$7,759;62
126;396;R$7,634;0
816;397;R$5,300;0
167;398;R$8,832;0
694;399;R$8,767;0
925;400;R$6,265;0
919;401;R$6,708;0
930;402;R$6,637;0
348;403;R$6,028;0
762;404;R$7,711;0
517;405;R$9,872;0
43;406;R$7,739;0
285;407;R$9,432;0
975;408;R$8,267;0
991;409;R$7,624;0
98;410;R$5,113;0
732;411;R$6,002;0
364;412;R$5,271;0
90;413;R$7,636;0
908;414;R$9,551;0
488;415;R$8,702;588
595;416;R$9,425;0
510;417;R$6,368;0
900;418;R$6,737;0
604;419;R$8,065;0
124;420;R$6,894;0
429;421;R$8,734;529
262;422;R$7,702;0
236;423;R$8,599;0
81;424;R$6,983;0
313;425;R$9,423;315
278;426;R$8,012;361
415;427;R$6,644;515
166;428;R$5,971;0
697;429;R$8,053;985
251;430;R$6,512;0
115;431;R$7,142;0
32;432;R$8,291;0
485;433;R$8,709;585
875;434;R$5,771;0
518;435;R$9,219;0
245;436;R$5,400;0
56;437;R$5,980;0
659;438;R$6,909;0
804;439;R$8,151;0
